subjects	peptides
1	185630002
2	20866433
3	7850697
4	4104928
5	2544338
6	1735299
7	1263592
8	962457
9	759365
10	611401
11	504634
12	425125
13	361278
14	310793
15	271014
16	239030
17	211621
18	188590
19	169908
20	153731
21	138677
22	125932
23	115384
24	105883
25	97402
26	90248
27	83077
28	77464
29	72211
30	67514
31	62541
32	59274
33	55701
34	52233
35	49281
36	46533
37	43973
38	41607
39	39765
40	36805
41	35382
42	33915
43	32582
44	30556
45	29402
46	28012
47	26683
48	25397
49	24338
50	23020
51	22293
52	21349
53	20614
54	19510
55	18893
56	18185
57	17557
58	16854
59	16164
60	15648
61	15128
62	14540
63	13889
64	13631
65	13126
66	12773
67	12234
68	11928
69	11533
70	11094
71	10990
72	10491
73	10267
74	9919
75	9736
76	9343
77	9228
78	8978
79	8549
80	8268
81	8239
82	7745
83	7752
84	7445
85	7361
86	7131
87	6994
88	6866
89	6676
90	6328
91	6307
92	6202
93	5909
94	5814
95	5662
96	5636
97	5290
98	5394
99	5279
100	5010
101	5080
102	4879
103	4822
104	4688
105	4647
106	4652
107	4414
108	4333
109	4260
110	4175
111	4161
112	3980
113	4095
114	3952
115	3771
116	3768
117	3648
118	3588
119	3582
120	3443
121	3449
122	3310
123	3297
124	3140
125	3203
126	3052
127	3082
128	3074
129	2951
130	2906
131	2927
132	2794
133	2810
134	2771
135	2745
136	2749
137	2633
138	2602
139	2574
140	2510
141	2567
142	2439
143	2385
144	2424
145	2366
146	2391
147	2375
148	2219
149	2265
150	2281
151	2170
152	2229
153	2216
154	2072
155	2144
156	2074
157	2137
158	2146
159	2038
160	2092
161	2083
162	2069
163	1978
164	1953
165	1963
166	1932
167	1882
168	1920
169	1853
170	1843
171	1857
172	1765
173	1826
174	1769
175	1728
176	1657
177	1785
178	1662
179	1556
180	1658
181	1613
182	1601
183	1591
184	1585
185	1458
186	1533
187	1446
188	1451
189	1391
190	1358
191	1427
192	1361
193	1322
194	1286
195	1318
196	1247
197	1256
198	1274
199	1242
200	1247
201	1208
202	1252
203	1188
204	1205
205	1175
206	1121
207	1069
208	1133
209	1137
210	1110
211	1160
212	1254
213	1127
214	1093
215	1174
216	1166
217	1407
218	1643
219	1808
220	1750
221	1288
222	726
223	610
224	565
225	860
