id	description	germline_content
8659_seq1	8659_seq1	0.6470588235294118
8659_seq2	8659_seq2	0.6915887850467289
10881_seq1	10881_seq1	0.9
10881_seq2	10881_seq2	0.8770491803278688
9509_seq1	9509_seq1	0.8598130841121495
9509_seq2	9509_seq2	0.7372881355932204
10745_seq1	10745_seq1	0.7833333333333333
10745_seq2	10745_seq2	0.8785046728971962
9921_seq1	9921_seq1	0.9152542372881356
9921_seq2	9921_seq2	0.9439252336448598
11089_seq1	11089_seq1	0.7844827586206896
11089_seq2	11089_seq2	0.8378378378378378
9568_seq1	9568_seq1	0.8688524590163934
9568_seq2	9568_seq2	0.9719626168224299
7860_seq1	7860_seq1	0.9345794392523364
7860_seq2	7860_seq2	0.8677685950413223
9953_seq1	9953_seq1	0.8677685950413223
9953_seq2	9953_seq2	0.9345794392523364
11300_seq1	11300_seq1	0.8571428571428571
11300_seq2	11300_seq2	0.8558558558558559
9838_seq1	9838_seq1	0.9813084112149533
9838_seq2	9838_seq2	0.8629032258064516
10178_seq1	10178_seq1	0.8943089430894309
10178_seq2	10178_seq2	0.9537037037037037
8976_seq1	8976_seq1	0.8717948717948718
8976_seq2	8976_seq2	0.822429906542056
8005_seq1	8005_seq1	0.7107438016528925
8005_seq2	8005_seq2	0.8598130841121495
9620_seq1	9620_seq1	0.864406779661017
9620_seq2	9620_seq2	0.9292035398230089
11301_seq1	11301_seq1	0.9532710280373832
11301_seq2	11301_seq2	0.9166666666666666
9343_seq1	9343_seq1	0.6302521008403361
9343_seq2	9343_seq2	0.6415094339622641
11030_seq1	11030_seq1	0.872
11030_seq2	11030_seq2	0.9159663865546218
11030_seq3	11030_seq3	0.9532710280373832
11030_seq4	11030_seq4	0.9439252336448598
10035_seq1	10035_seq1	0.7130434782608696
10035_seq2	10035_seq2	0.794392523364486
11111_seq1	11111_seq1	0.8828828828828829
11111_seq2	11111_seq2	0.8833333333333333
9788_seq1	9788_seq1	0.8828828828828829
9788_seq2	9788_seq2	0.8833333333333333
9800_seq1	9800_seq1	0.8974358974358975
9800_seq2	9800_seq2	0.9351851851851852
8942_seq1	8942_seq1	0.847457627118644
8942_seq2	8942_seq2	0.8288288288288288
10382_seq1	10382_seq1	0.9
10382_seq2	10382_seq2	0.9098360655737705
10383_seq1	10383_seq1	0.9
10383_seq2	10383_seq2	0.9098360655737705
10106_seq1	10106_seq1	0.940677966101695
10106_seq2	10106_seq2	0.9722222222222222
11067_seq1	11067_seq1	0.9090909090909091
11067_seq2	11067_seq2	0.9719626168224299
9814_seq1	9814_seq1	0.8389830508474576
9814_seq2	9814_seq2	0.8598130841121495
11865_seq1	11865_seq1	0.7217391304347827
11865_seq2	11865_seq2	0.7747747747747747
10638_seq1	10638_seq1	0.9439252336448598
10638_seq2	10638_seq2	0.8571428571428571
9336_seq1	9336_seq1	0.9122807017543859
9336_seq2	9336_seq2	0.9719626168224299
11032_seq1	11032_seq1	0.9074074074074074
11032_seq2	11032_seq2	0.9224137931034483
11081_seq1	11081_seq1	0.9626168224299065
11081_seq2	11081_seq2	0.8548387096774194
10062_seq1	10062_seq1	0.9636363636363636
10062_seq2	10062_seq2	0.85
11148_seq1	11148_seq1	0.8598130841121495
11148_seq2	11148_seq2	0.8620689655172413
10953_seq1	10953_seq1	0.8504672897196262
10953_seq2	10953_seq2	0.8095238095238095
10498_seq1	10498_seq1	0.8672566371681416
10498_seq2	10498_seq2	0.8888888888888888
10499_seq1	10499_seq1	0.8672566371681416
10499_seq2	10499_seq2	0.8888888888888888
10993_seq1	10993_seq1	0.9719626168224299
10993_seq2	10993_seq2	0.9646017699115044
11876_seq1	11876_seq1	0.9532710280373832
11876_seq2	11876_seq2	0.92
8624_seq1	8624_seq1	0.8403361344537815
8624_seq2	8624_seq2	0.8482142857142857
11064_seq1	11064_seq1	0.859504132231405
11064_seq2	11064_seq2	0.9537037037037037
8734_seq1	8734_seq1	0.6915887850467289
8734_seq2	8734_seq2	0.625
11027_seq1	11027_seq1	0.7181818181818181
11027_seq2	11027_seq2	0.768
11125_seq1	11125_seq1	0.905982905982906
11125_seq2	11125_seq2	0.8490566037735849
9959_seq1	9959_seq1	0.6698113207547169
9959_seq2	9959_seq2	0.6666666666666666
10797_seq1	10797_seq1	0.7768595041322314
10797_seq2	10797_seq2	0.8878504672897196
10754_seq1	10754_seq1	0.7768595041322314
10754_seq2	10754_seq2	0.8878504672897196
8381_seq1	8381_seq1	0.9444444444444444
8381_seq2	8381_seq2	0.7804878048780488
10681_seq1	10681_seq1	0.8070175438596491
10681_seq2	10681_seq2	0.8598130841121495
9233_seq1	9233_seq1	0.743801652892562
9233_seq2	9233_seq2	0.8691588785046729
11063_seq1	11063_seq1	0.8785046728971962
11063_seq2	11063_seq2	0.7203389830508474
11224_seq1	11224_seq1	0.9017857142857143
11224_seq2	11224_seq2	0.8050847457627118
10639_seq1	10639_seq1	0.8823529411764706
10639_seq2	10639_seq2	0.9345794392523364
10806_seq1	10806_seq1	0.897196261682243
10806_seq2	10806_seq2	0.8032786885245902
10709_seq1	10709_seq1	0.8888888888888888
10709_seq2	10709_seq2	0.9009009009009009
8017_seq1	8017_seq1	0.7235772357723578
8017_seq2	8017_seq2	0.8878504672897196
9916_seq1	9916_seq1	0.7235772357723578
9916_seq2	9916_seq2	0.8878504672897196
11328_seq1	11328_seq1	0.7962962962962963
11328_seq2	11328_seq2	0.8442622950819673
9608_seq1	9608_seq1	0.907563025210084
9608_seq2	9608_seq2	0.9814814814814815
9711_seq1	9711_seq1	0.9043478260869565
9711_seq2	9711_seq2	0.9009009009009009
9878_seq1	9878_seq1	0.8130841121495327
9878_seq2	9878_seq2	0.792
10665_seq1	10665_seq1	0.85
10665_seq2	10665_seq2	0.9636363636363636
10198_seq1	10198_seq1	0.8660714285714286
10198_seq2	10198_seq2	0.8151260504201681
10114_seq1	10114_seq1	0.9622641509433962
10114_seq2	10114_seq2	0.8842975206611571
10194_seq1	10194_seq1	0.6283185840707964
10194_seq2	10194_seq2	0.7699115044247787
9440_seq1	9440_seq1	0.8317757009345794
9440_seq2	9440_seq2	0.8135593220338984
9840_seq1	9840_seq1	0.8559322033898306
9840_seq2	9840_seq2	0.8691588785046729
10425_seq1	10425_seq1	0.9112903225806451
10425_seq2	10425_seq2	0.9279279279279279
9144_seq1	9144_seq1	0.6837606837606838
9144_seq2	9144_seq2	0.7297297297297297
9153_seq1	9153_seq1	0.8378378378378378
9153_seq2	9153_seq2	0.9304347826086956
9475_seq1	9475_seq1	0.9482758620689655
9475_seq2	9475_seq2	0.9252336448598131
9982_seq1	9982_seq1	0.8348623853211009
9982_seq2	9982_seq2	0.768595041322314
10908_seq1	10908_seq1	0.7288135593220338
10908_seq2	10908_seq2	0.8482142857142857
10301_seq1	10301_seq1	0.9230769230769231
10301_seq2	10301_seq2	0.9716981132075472
10121_seq1	10121_seq1	0.8108108108108109
10121_seq2	10121_seq2	0.7786885245901639
10590_seq1	10590_seq1	0.9813084112149533
10590_seq2	10590_seq2	0.9304347826086956
10592_seq1	10592_seq1	0.9813084112149533
10592_seq2	10592_seq2	0.9304347826086956
10400_seq1	10400_seq1	0.8691588785046729
10400_seq2	10400_seq2	0.8879310344827587
8836_seq1	8836_seq1	0.9719626168224299
8836_seq2	8836_seq2	0.8983050847457628
9441_seq1	9441_seq1	0.7394957983193278
9441_seq2	9441_seq2	0.8035714285714286
9372_seq1	9372_seq1	0.9159663865546218
9372_seq2	9372_seq2	0.8807339449541285
10244_seq1	10244_seq1	0.7372881355932204
10244_seq2	10244_seq2	0.6509433962264151
11861_seq1	11861_seq1	0.9532710280373832
11861_seq2	11861_seq2	0.9083333333333333
10691_seq1	10691_seq1	0.8547008547008547
10691_seq2	10691_seq2	0.8317757009345794
10990_seq1	10990_seq1	0.8504672897196262
10990_seq2	10990_seq2	0.7479674796747967
10080_seq1	10080_seq1	0.768595041322314
10080_seq2	10080_seq2	0.8148148148148148
10080_seq3	10080_seq3	0.768595041322314
8448_seq1	8448_seq1	0.8411214953271028
8448_seq2	8448_seq2	0.7542372881355932
10757_seq1	10757_seq1	0.8943089430894309
10757_seq2	10757_seq2	0.9439252336448598
7906_seq1	7906_seq1	0.5630252100840336
7906_seq2	7906_seq2	0.6728971962616822
10974_seq1	10974_seq1	0.5630252100840336
10974_seq2	10974_seq2	0.6728971962616822
11258_seq1	11258_seq1	0.6833333333333333
11258_seq2	11258_seq2	0.875
11258_seq3	11258_seq3	0.8317757009345794
11258_seq4	11258_seq4	0.8067226890756303
10636_seq1	10636_seq1	0.8073394495412844
10636_seq2	10636_seq2	0.8148148148148148
