id	description	t20
Abituzumab	Abituzumab VH (Humanized by BioPhi Sapiens)	81.01697
Abituzumab	Abituzumab VL (Humanized by BioPhi Sapiens)	87.52347
Afutuzumab	Afutuzumab VH (Humanized by BioPhi Sapiens)	81.63877
Afutuzumab	Afutuzumab VL (Humanized by BioPhi Sapiens)	88.755
Alacizumab	Alacizumab VH (Humanized by BioPhi Sapiens)	87.0946
Alacizumab	Alacizumab VL (Humanized by BioPhi Sapiens)	87.61687
Alemtuzumab	Alemtuzumab VH (Humanized by BioPhi Sapiens)	76.1576
Alemtuzumab	Alemtuzumab VL (Humanized by BioPhi Sapiens)	85.60757
Anrukinzumab	Anrukinzumab VH (Humanized by BioPhi Sapiens)	88.09327
Anrukinzumab	Anrukinzumab VL (Humanized by BioPhi Sapiens)	79.14417
Atezolizumab	Atezolizumab VH (Humanized by BioPhi Sapiens)	87.33057
Atezolizumab	Atezolizumab VL (Humanized by BioPhi Sapiens)	92.47667
Bapineuzumab	Bapineuzumab VH (Humanized by BioPhi Sapiens)	86.21857
Bapineuzumab	Bapineuzumab VL (Humanized by BioPhi Sapiens)	84.3756
Bemarituzumab	Bemarituzumab VH (Humanized by BioPhi Sapiens)	100.05
Bemarituzumab	Bemarituzumab VL (Humanized by BioPhi Sapiens)	86.7296
Benralizumab	Benralizumab VH (Humanized by BioPhi Sapiens)	80.57857
Benralizumab	Benralizumab VL (Humanized by BioPhi Sapiens)	86.77577
Bevacizumab	Bevacizumab VH (Humanized by BioPhi Sapiens)	78.2526
Bevacizumab	Bevacizumab VL (Humanized by BioPhi Sapiens)	90.5146
Blosozumab	Blosozumab VH (Humanized by BioPhi Sapiens)	78.55937
Blosozumab	Blosozumab VL (Humanized by BioPhi Sapiens)	85.14027
Bococizumab	Bococizumab VH (Humanized by BioPhi Sapiens)	85.6786
Bococizumab	Bococizumab VL (Humanized by BioPhi Sapiens)	87.00937
Brontictuzumab	Brontictuzumab VH (Humanized by BioPhi Sapiens)	81.07447
Brontictuzumab	Brontictuzumab VL (Humanized by BioPhi Sapiens)	82.055
Cabiralizumab	Cabiralizumab VH (Humanized by BioPhi Sapiens)	81.47547
Cabiralizumab	Cabiralizumab VL (Humanized by BioPhi Sapiens)	76.89197
