id	description	t20
AntiCD28	AntiCD28 VH	62.54
AntiCD28	AntiCD28 VL	62.76797
Campath	Campath VH	68.38847
Campath	Campath VL	75.5146
Bevacizumab	Bevacizumab VH	67.92687
Bevacizumab	Bevacizumab VL	75.70097
Herceptin	Herceptin VH	61.70837
Herceptin	Herceptin VL	73.41127
Omalizumab	Omalizumab VH	66.1576
Omalizumab	Omalizumab VL	67.74777
Eculizumab	Eculizumab VH	60.77877
Eculizumab	Eculizumab VL	67.61687
Tocilizumab	Tocilizumab VH	70.63037
Tocilizumab	Tocilizumab VL	74.29917
Pembrolizumab	Pembrolizumab VH	66.33337
Pembrolizumab	Pembrolizumab VL	66.26137
Pertuzumab	Pertuzumab VH	61.51267
Pertuzumab	Pertuzumab VL	71.35517
Ixekizumab	Ixekizumab VH	60.16817
Ixekizumab	Ixekizumab VL	80.22327
Palivizumab	Palivizumab VH	67.755
Palivizumab	Palivizumab VL	63.98737
Certolizumab	Certolizumab VH	68.94077
Certolizumab	Certolizumab VL	70.18697
Idarucizumab	Idarucizumab VH	58.11487
Idarucizumab	Idarucizumab VL	79.10717
Reslizumab	Reslizumab VH	62.88797
Reslizumab	Reslizumab VL	69.81317
Solanezumab	Solanezumab VH	92.69237
Solanezumab	Solanezumab VL	80.35717
Lorvotuzumab	Lorvotuzumab VH	78.34757
Lorvotuzumab	Lorvotuzumab VL	79.28577
Pinatuzumab	Pinatuzumab VH	63.66677
Pinatuzumab	Pinatuzumab VL	80.17867
Etaracizumab	Etaracizumab VH	76.32487
Etaracizumab	Etaracizumab VL	66.68227
Talacotuzumab	Talacotuzumab VH	64.755
Talacotuzumab	Talacotuzumab VL	79.24787
Rovalpituzumab	Rovalpituzumab VH	71.05937
Rovalpituzumab	Rovalpituzumab VL	67.38327
Clazakizumab	Clazakizumab VH	64.88647
Clazakizumab	Clazakizumab VL	64.18187
Ligelizumab	Ligelizumab VH	59.91877
Ligelizumab	Ligelizumab VL	66.30847
Crizanlizumab	Crizanlizumab VH	65.40987
Crizanlizumab	Crizanlizumab VL	69.9556
Mogamulizumab	Mogamulizumab VH	70.58827
Mogamulizumab	Mogamulizumab VL	75.6256
Refanezumab	Refanezumab VH	70.83337
Refanezumab	Refanezumab VL	90.04
