Antibody	Hu-mAb
3F8 VH	0.0
3F8 VL	0.02
moAb_81C6 VH	0.0
moAb_81C6 VL	0.000
Pexelizumab VH	0.99
Pexelizumab VL	0.821
Arcitumomab VH	0.0
Arcitumomab VL	0.000
Blinatumomab VH	0.0
Blinatumomab VL	0.11199999999999999
Ibritumomab VH	0.0
Ibritumomab VL	0.001
MuromonabCD3 VH	0.0
MuromonabCD3 VL	0.005
Satumomab VH	0.0
Satumomab VL	0.000
Tositumomab VH	0.0
Tositumomab VL	0.001
Abciximab VH	0.0
Abciximab VL	0.025
Basiliximab VH	0.005
Basiliximab VL	0.0
Bavituximab VH	0.0
Bavituximab VL	0.0
Cetuximab VH	0.0
Cetuximab VL	0.005
Rituximab VH	0.0
Rituximab VL	0.0
Siltuximab VH	0.0
Siltuximab VL	0.0
Alemtuzumab VH	0.835
Alemtuzumab VL	0.8420000000000001
Atezolizumab VH	0.975
Atezolizumab VL	0.941
Bevacizumab VH	0.81
Bevacizumab VL	0.899
Certolizumab VH	0.855
Certolizumab VL	0.862
Daclizumab VH	0.65
Daclizumab VL	0.903
Elotuzumab VH	0.375
Elotuzumab VL	0.8059999999999999
Farletuzumab VH	0.79
Farletuzumab VL	0.789
Gemtuzumab VH	0.625
Gemtuzumab VL	0.922
Idarucizumab VH	0.765
Idarucizumab VL	0.9
Ixekizumab VH	0.9
Ixekizumab VL	0.8640000000000001
Matuzumab VH	0.62
Matuzumab VL	0.821
Omalizumab VH	0.845
Omalizumab VL	0.8740000000000001
Oportuzumab VH	0.455
Oportuzumab VL	0.787
Pembrolizumab VH	0.88
Pembrolizumab VL	0.87
Pertuzumab VH	0.875
Pertuzumab VL	0.888
Ranibizumab VH	0.805
Ranibizumab VL	0.914
Trastuzumab VH	0.965
Trastuzumab VL	0.777
Vedolizumab VH	0.795
Vedolizumab VL	0.83
Adalimumab VH	1.0
Adalimumab VL	0.9990000000000001
Denosumab VH	1.0
Denosumab VL	1.0
Durvalumab VH	1.0
Durvalumab VL	1.0
Ipilimumab VH	1.0
Ipilimumab VL	1.0
Necitumumab VH	1.0
Necitumumab VL	0.995
Nivolumab VH	1.0
Nivolumab VL	1.0
Ofatumumab VH	0.995
Ofatumumab VL	1.0
Olaratumab VH	1.0
Olaratumab VL	1.0
Ramucirumab VH	1.0
Ramucirumab VL	0.9520000000000001
Secukinumab VH	0.99
Secukinumab VL	1.0
Zalutumumab VH	1.0
Zalutumumab VL	0.9990000000000001
Moxetumomab VH	0.015
Moxetumomab VL	0.002
Abagovomab VH	0.0
Abagovomab VL	0.05
Begelomab VH	0.0
Begelomab VL	0.0
PankoMab VH	0.74
PankoMab VL	0.608
Infliximab VH	0.035
Infliximab VL	0.045
Eculizumab VH	0.975
Eculizumab VL	0.893
Natalizumab VH	0.95
Natalizumab VL	0.499
Golimumab VH	1.0
Golimumab VL	1.0
Ustekinumab VH	1.0
Ustekinumab VL	1.0
Tocilizumab VH	0.935
Tocilizumab VL	0.65
Avelumab VH	0.995
Avelumab VL	1.0
Canakinumab VH	1.0
Canakinumab VL	1.0
Panitumumab VH	1.0
Panitumumab VL	1.0
Brentuximab VH	0.0
Brentuximab VL	0.0
Daratumumab VH	1.0
Daratumumab VL	1.0
Obinutuzumab VH	0.83
Obinutuzumab VL	0.562
Dinutuximab VH	0.01
Dinutuximab VL	0.252
Polatuzumab VH	0.69
Polatuzumab VL	0.8590000000000001
Concizumab VH	0.445
