id	description	t20
3F8	3F8 VH	62.94127
3F8	3F8 VL	85.41677
moAb_81C6	moAb_81C6 VH	67.37297
moAb_81C6	moAb_81C6 VL	84.41447
Pexelizumab	Pexelizumab VH	79.52177
Pexelizumab	Pexelizumab VL	81.93887
Arcitumomab	Arcitumomab VH	73.38847
Arcitumomab	Arcitumomab VL	66.07597
Blinatumomab	Blinatumomab VH	67.17747
Blinatumomab	Blinatumomab VL	67.79287
Ibritumomab	Ibritumomab VH	66.06567
Ibritumomab	Ibritumomab VL	65.18997
MuromonabCD3	MuromonabCD3 VH	69.87397
MuromonabCD3	MuromonabCD3 VL	62.21527
Satumomab	Satumomab VH	84.61547
Satumomab	Satumomab VL	70.32717
Tositumomab	Tositumomab VH	65.98367
Tositumomab	Tositumomab VL	65.18997
Abciximab	Abciximab VH	64.62187
Abciximab	Abciximab VL	67.47667
Basiliximab	Basiliximab VH	65.72657
Basiliximab	Basiliximab VL	90.41677
Bavituximab	Bavituximab VH	62.54
Bavituximab	Bavituximab VL	69.34587
Cetuximab	Cetuximab VH	57.98327
Cetuximab	Cetuximab VL	65.37387
Rituximab	Rituximab VH	68.26457
Rituximab	Rituximab VL	67.02537
Siltuximab	Siltuximab VH	74.83197
Siltuximab	Siltuximab VL	69.49377
Alemtuzumab	Alemtuzumab VH	72.3146
Alemtuzumab	Alemtuzumab VL	85.60757
Atezolizumab	Atezolizumab VH	87.1616
Atezolizumab	Atezolizumab VL	92.47667
Bevacizumab	Bevacizumab VH	73.65857
Bevacizumab	Bevacizumab VL	89.25237
Certolizumab	Certolizumab VH	78.64417
Certolizumab	Certolizumab VL	88.59817
Daclizumab	Daclizumab VH	100.05
Daclizumab	Daclizumab VL	79.17727
Elotuzumab	Elotuzumab VH	78.94967
Elotuzumab	Elotuzumab VL	84.11217
Farletuzumab	Farletuzumab VH	78.73957
Farletuzumab	Farletuzumab VL	78.90917
Gemtuzumab	Gemtuzumab VH	100.05
Gemtuzumab	Gemtuzumab VL	78.24327
Idarucizumab	Idarucizumab VH	77.33617
Idarucizumab	Idarucizumab VL	86.56257
Ixekizumab	Ixekizumab VH	80.84037
Ixekizumab	Ixekizumab VL	85.58047
Matuzumab	Matuzumab VH	79.46287
Matuzumab	Matuzumab VL	79.43047
Omalizumab	Omalizumab VH	74.04967
Omalizumab	Omalizumab VL	87.74777
Oportuzumab	Oportuzumab VH	97.69237
Oportuzumab	Oportuzumab VL	78.57147
Pembrolizumab	Pembrolizumab VH	75.70837
Pembrolizumab	Pembrolizumab VL	82.74777
Pertuzumab	Pertuzumab VH	76.47067
Pertuzumab	Pertuzumab VL	89.81317
Ranibizumab	Ranibizumab VH	72.5616
Ranibizumab	Ranibizumab VL	88.87857
Trastuzumab	Trastuzumab VH	86.255
Trastuzumab	Trastuzumab VL	92.85057
Vedolizumab	Vedolizumab VH	79.8766
Vedolizumab	Vedolizumab VL	84.77687
Adalimumab	Adalimumab VH	87.85127
Adalimumab	Adalimumab VL	92.52347
Denosumab	Denosumab VH	90.98367
Denosumab	Denosumab VL	95.04
Durvalumab	Durvalumab VH	91.57027
Durvalumab	Durvalumab VL	96.06487
Ipilimumab	Ipilimumab VH	90.46617
Ipilimumab	Ipilimumab VL	97.0376
Necitumumab	Necitumumab VH	90.78517
Necitumumab	Necitumumab VL	93.36457
Nivolumab	Nivolumab VH	100.05
Nivolumab	Nivolumab VL	97.42997
Ofatumumab	Ofatumumab VH	92.5416
Ofatumumab	Ofatumumab VL	97.28977
Olaratumab	Olaratumab VH	83.74027
Olaratumab	Olaratumab VL	97.94397
Ramucirumab	Ramucirumab VH	100.05
Ramucirumab	Ramucirumab VL	84.01877
Secukinumab	Secukinumab VH	84.09457
Secukinumab	Secukinumab VL	97.59267
Zalutumumab	Zalutumumab VH	87.765
