id	description	t20
AntiCD28	AntiCD28 VH	80.8756
AntiCD28	AntiCD28 VL	80.58047
Campath	Campath VH	72.3146
Campath	Campath VL	85.60757
Bevacizumab	Bevacizumab VH	73.65857
Bevacizumab	Bevacizumab VL	89.25237
Herceptin	Herceptin VH	86.255
Herceptin	Herceptin VL	91.07487
Omalizumab	Omalizumab VH	76.36367
Omalizumab	Omalizumab VL	87.74777
Eculizumab	Eculizumab VH	78.77057
Eculizumab	Eculizumab VL	84.81317
Tocilizumab	Tocilizumab VH	80.63037
Tocilizumab	Tocilizumab VL	88.7856
Pembrolizumab	Pembrolizumab VH	75.70837
Pembrolizumab	Pembrolizumab VL	82.74777
Pertuzumab	Pertuzumab VH	76.47067
Pertuzumab	Pertuzumab VL	89.81317
Ixekizumab	Ixekizumab VH	80.84037
Ixekizumab	Ixekizumab VL	85.58047
Palivizumab	Palivizumab VH	80.755
Palivizumab	Palivizumab VL	79.36717
Certolizumab	Certolizumab VH	78.64417
Certolizumab	Certolizumab VL	88.59817
Idarucizumab	Idarucizumab VH	77.33617
Idarucizumab	Idarucizumab VL	86.56257
Reslizumab	Reslizumab VH	75.25867
Reslizumab	Reslizumab VL	87.05617
Solanezumab	Solanezumab VH	100.05
Solanezumab	Solanezumab VL	88.43757
Lorvotuzumab	Lorvotuzumab VH	87.28817
Lorvotuzumab	Lorvotuzumab VL	89.68757
Pinatuzumab	Pinatuzumab VH	77.70837
Pinatuzumab	Pinatuzumab VL	81.51797
Etaracizumab	Etaracizumab VH	82.99157
Etaracizumab	Etaracizumab VL	84.11217
Talacotuzumab	Talacotuzumab VH	77.79177
Talacotuzumab	Talacotuzumab VL	89.60187
Rovalpituzumab	Rovalpituzumab VH	81.99157
Rovalpituzumab	Rovalpituzumab VL	85.98137
Clazakizumab	Clazakizumab VH	78.16677
Clazakizumab	Clazakizumab VL	83.27277
Ligelizumab	Ligelizumab VH	74.8786
Ligelizumab	Ligelizumab VL	84.76647
Crizanlizumab	Crizanlizumab VH	77.6236
Crizanlizumab	Crizanlizumab VL	87.38747
Mogamulizumab	Mogamulizumab VH	78.27737
Mogamulizumab	Mogamulizumab VL	83.52687
Refanezumab	Refanezumab VH	83.80957
Refanezumab	Refanezumab VL	95.04
