Subject	Bernat_2019:A007	Bhiman_2015:CAP256	Doria-Rose_2015:CAP256	Gidoni_2019:S1	Gidoni_2019:S10	Gidoni_2019:S100	Gidoni_2019:S11	Gidoni_2019:S12	Gidoni_2019:S13	Gidoni_2019:S14	Gidoni_2019:S15	Gidoni_2019:S16	Gidoni_2019:S17	Gidoni_2019:S18	Gidoni_2019:S19	Gidoni_2019:S2	Gidoni_2019:S20	Gidoni_2019:S21	Gidoni_2019:S22	Gidoni_2019:S23	Gidoni_2019:S24	Gidoni_2019:S25	Gidoni_2019:S26	Gidoni_2019:S27	Gidoni_2019:S28	Gidoni_2019:S29	Gidoni_2019:S3	Gidoni_2019:S30	Gidoni_2019:S31	Gidoni_2019:S32	Gidoni_2019:S33	Gidoni_2019:S34	Gidoni_2019:S35	Gidoni_2019:S36	Gidoni_2019:S37	Gidoni_2019:S38	Gidoni_2019:S39	Gidoni_2019:S4	Gidoni_2019:S40	Gidoni_2019:S41	Gidoni_2019:S42	Gidoni_2019:S43	Gidoni_2019:S44	Gidoni_2019:S45	Gidoni_2019:S46	Gidoni_2019:S47	Gidoni_2019:S48	Gidoni_2019:S49	Gidoni_2019:S5	Gidoni_2019:S50	Gidoni_2019:S51	Gidoni_2019:S52	Gidoni_2019:S53	Gidoni_2019:S54	Gidoni_2019:S55	Gidoni_2019:S56	Gidoni_2019:S57	Gidoni_2019:S58	Gidoni_2019:S59	Gidoni_2019:S60	Gidoni_2019:S61	Gidoni_2019:S62	Gidoni_2019:S63	Gidoni_2019:S64	Gidoni_2019:S65	Gidoni_2019:S66	Gidoni_2019:S67	Gidoni_2019:S68	Gidoni_2019:S69	Gidoni_2019:S7	Gidoni_2019:S70	Gidoni_2019:S71	Gidoni_2019:S72	Gidoni_2019:S73	Gidoni_2019:S74	Gidoni_2019:S75	Gidoni_2019:S76	Gidoni_2019:S77	Gidoni_2019:S78	Gidoni_2019:S79	Gidoni_2019:S8	Gidoni_2019:S80	Gidoni_2019:S81	Gidoni_2019:S82	Gidoni_2019:S83	Gidoni_2019:S84	Gidoni_2019:S85	Gidoni_2019:S86	Gidoni_2019:S87	Gidoni_2019:S88	Gidoni_2019:S89	Gidoni_2019:S9	Gidoni_2019:S90	Gidoni_2019:S91	Gidoni_2019:S92	Gidoni_2019:S93	Gidoni_2019:S94	Gidoni_2019:S95	Gidoni_2019:S96	Gidoni_2019:S97	Gidoni_2019:S99	Gupta_2017:Fv_volunteer	Gupta_2017:GMC_volunteer	Gupta_2017:IB_volunteer	Huang_2016:Donor-Z258	Johnson_2018:CAP256	Soto_2016:IAVI84	Soto_2016:N152	Vander_Heiden_2017:AR02	Vander_Heiden_2017:AR03	Vander_Heiden_2017:AR04	Vander_Heiden_2017:AR05	Vander_Heiden_2017:HD07	Vander_Heiden_2017:HD09	Vander_Heiden_2017:HD10	Vander_Heiden_2017:HD13	Vander_Heiden_2017:MK02	Vander_Heiden_2017:MK03	Vander_Heiden_2017:MK04	Vander_Heiden_2017:MK05	Vander_Heiden_2017:MK08	Waltari_2018:AD341	Waltari_2018:AD344	Waltari_2018:BD1	Waltari_2018:BD10	Waltari_2018:BD11	Waltari_2018:BD12	Waltari_2018:BD13	Waltari_2018:BD14	Waltari_2018:BD2	Waltari_2018:BD2-repeat1	Waltari_2018:BD4	Waltari_2018:BD5	Waltari_2018:BD6	Waltari_2018:BD7	Waltari_2018:BD8	Waltari_2018:BD9	Waltari_2018:CB1	Waltari_2018:CB2	Waltari_2018:CB3	Waltari_2018:CB4	Waltari_2018:CB5	Waltari_2018:CB5-repeat1	Waltari_2018:MT1214	Waltari_2018:MT8004	Wu_2011:Donor-45	Wu_2015:Donor-45	Zhou_2013:Donor-IAVI23	Zhou_2013:Donor-IAVI57	Zhou_2013:Donor-IAVI74	Zhou_2013:Donor-NIAID45	Zhou_2013:Donor-RU3	Zhu_2012:Donor-39	Zhu_2013:Donor-C38
Bernat_2019:A007	1426135	91375	329956	155478	232889	202466	199545	218150	221199	181612	214888	169540	193437	178220	199306	167436	191435	166610	230134	218423	206572	197798	177719	216483	155967	222844	158080	197830	195377	200237	182918	235261	173329	233862	194795	189903	189411	167454	195174	197931	188291	188030	174418	186341	188503	187169	189825	166182	224946	209157	216863	211951	180976	235736	191954	220855	216245	203106	214810	207519	196562	189046	200148	216628	203075	181809	208089	192857	191085	180627	184342	179583	208064	202332	198885	215833	220692	209917	195528	196240	200088	192487	181083	197301	221915	225871	192132	220517	208310	199331	226969	205154	192258	203695	128306	219167	185825	228929	140197	176956	163907	750048	776732	786125	386931	87470	113546	78128	378480	304151	345929	385625	401983	414440	448503	385018	300115	389645	285844	449844	354668	589559	621737	524136	507773	498992	527426	504285	609336	574504	625296	513800	503755	598540	507929	559049	486205	489005	503996	391977	310951	493239	298028	605383	681058	41864	196274	112177	88445	169467	55603	132640	83845	300384
Bhiman_2015:CAP256	91375	235310	148691	43006	53667	42356	44087	47512	47539	37679	46179	37207	38940	37713	46104	48632	44121	34267	48657	46602	43919	44899	35987	48825	34526	45208	44255	41693	43782	41471	36861	45173	34921	44356	43876	43745	41201	42882	42798	39935	37330	41524	38257	39732	48363	41630	43381	39818	49077	47083	48731	48070	46469	54351	39961	48306	49096	45470	45095	46528	44469	45783	44927	48636	41362	42393	45486	44022	41169	42436	42717	42530	47221	49199	45322	48597	50950	48751	46678	44847	40963	45469	46158	46406	51908	49028	45167	49229	51425	47135	46351	46129	41607	41869	28856	53947	41653	46621	30386	34659	36987	150401	150967	153643	10938	41653	2615	48527	90907	74051	85669	96321	91958	88756	97805	84827	70022	79914	64206	100419	84983	129335	132009	112548	101100	101357	111756	104971	127422	111827	121068	118185	121860	119307	109210	114988	96095	87041	89502	72964	61381	81386	54978	134270	144816	1133	4968	21256	2571	49077	1328	3347	2093	96738
Doria-Rose_2015:CAP256	329956	148691	1373970	135175	179017	147048	149569	164340	163029	130762	155830	126122	139899	130274	149580	147416	145188	120781	171989	164974	150662	147658	129992	166405	116028	163647	137961	145657	146847	147621	134953	167845	127809	165160	143849	143760	141148	142464	145837	141571	134549	140665	127134	137620	151960	135964	140690	123886	165471	160935	161271	161506	140216	183790	137729	165442	168634	157013	160665	159270	149979	146395	149376	164448	144014	141850	156111	145617	143592	139687	139733	134415	158199	159990	150774	162404	165720	161704	155047	144621	147255	144047	143677	149296	173919	171133	145491	164805	162761	147923	169016	157033	138309	147426	98165	174272	143587	160355	103793	125354	119570	701098	705827	724633	323457	100694	114480	110824	335406	249920	303718	361711	347605	349875	376906	324372	251984	320269	222746	401526	300871	520334	546906	441734	456105	421466	464830	427305	546304	495724	537605	476529	492016	527824	458457	494530	421125	341405	357374	274884	213862	342626	204976	549893	655792	46063	214817	121892	93911	196279	60349	145224	93163	382503
Gidoni_2019:S1	155478	43006	135175	305922	149365	134252	137473	144565	145446	122806	136955	118682	127257	123679	134980	136279	131285	114863	149479	147082	139588	133783	123324	141913	109775	147072	131458	134306	135177	137257	122687	147657	123678	147096	135368	133902	132151	139022	135756	131636	126496	131120	118648	128895	125593	123825	131299	117528	147616	141949	144156	143288	127633	150990	129725	148564	143915	135704	143836	142117	136555	133158	133160	144735	133997	129593	142356	131356	133417	127802	131181	125118	141035	136254	137085	141089	146822	141334	130006	132155	136009	132282	129697	136148	144466	149499	130645	147040	139897	132846	146273	140643	129850	134353	93285	144023	129126	142127	100179	119537	114324	245314	254340	255638	143637	24385	53507	29400	178157	157244	180116	183465	184437	194884	197146	183504	157825	178864	154936	192267	165850	222160	227530	217730	206610	196917	201395	197307	227623	217442	224192	199050	209906	226703	207569	226479	196634	209861	224689	188805	167430	213371	163413	223279	237436	24593	81447	60991	44996	88342	35303	65671	43882	129581
Gidoni_2019:S10	232889	53667	179017	149365	585482	201178	203162	216527	221737	185538	207706	171959	194306	181393	200072	159467	191958	172094	229236	218827	207707	197456	181894	211516	159435	222065	149001	197692	196748	201781	184580	230634	178219	231226	199230	191035	191752	164335	196794	197758	192873	191871	174798	190421	179481	184690	191438	168730	223437	207628	214682	210337	180266	228897	195732	222497	208859	196526	211085	204827	199016	191830	197230	213861	203763	187172	210641	193479	192190	179388	189649	180731	207123	196852	199291	210001	217678	207948	192473	194539	203566	193240	181836	198670	211266	226191	189897	223770	204478	195246	218938	208850	192701	201985	130543	209456	186882	221406	147770	181093	167836	418718	441173	442523	250148	42578	71691	44601	270290	232749	261723	269031	282604	304257	315197	287576	229631	281198	232938	302499	251327	360163	370867	351563	319973	313754	320014	311740	369554	355944	376873	309901	319557	367300	321498	363487	300110	357884	376550	307260	261134	365678	257506	360364	389957	27642	111739	75830	55757	108063	39665	82252	52402	168609
Gidoni_2019:S100	202466	42356	147048	134252	201178	481995	185403	194907	199286	174353	191971	160955	180672	171219	181478	139207	174182	162059	205762	196749	190446	178524	170665	189208	149588	204532	134355	182109	179575	186573	171564	214267	166790	213428	181408	172670	176923	145052	178865	184451	180681	176107	164557	174310	164534	173229	173828	156108	201907	184467	191512	186865	163135	200284	181403	199151	190794	180529	194684	185481	179047	169832	182192	191363	191194	166437	189047	174791	173067	163059	170390	165933	185085	177371	178604	191372	196765	186981	171810	179546	184955	174845	161394	176543	190182	199811	174358	198361	180432	178862	203337	184197	180210	187874	123251	188891	169665	205672	141030	170574	158504	352509	373533	372637	234444	31875	62592	33767	233259	204577	225777	229669	248323	266320	274473	251669	206378	251451	207539	264229	221793	302335	314932	295489	279554	272852	275773	277306	313646	309473	325782	265559	264225	315670	279136	312422	265191	315660	330211	272218	234230	326220	235796	302959	328489	26193	100793	64580	49415	94131	36013	72602	48790	141000
Gidoni_2019:S11	199545	44087	149569	137473	203162	185403	479683	199868	204336	171822	189042	160138	176969	168495	181667	145973	175367	157761	205437	200446	191970	182103	171393	192857	147977	202574	137438	185209	180689	186735	173106	209585	168468	214297	181107	175470	177186	150446	181675	185081	180556	176680	161595	177891	162749	172107	175569	154407	204600	189466	196380	191436	168759	202749	181920	203675	194389	182426	193915	188801	185058	176020	181015	196855	187279	169479	195512	177877	177247	164418	178864	165541	191404	182070	185781	191131	197576	193083	173503	176701	185828	176375	165651	180766	190755	202993	174647	203151	185700	176616	199689	189567	177563	186185	121887	192224	170284	200039	138591	166416	153987	345547	369793	368498	221520	31483	63500	36723	226181	198172	227688	227510	239685	260503	267071	248334	200066	245991	205406	256985	216369	297210	304956	292179	267471	259957	266541	264090	304267	294967	311126	255286	264554	308170	269700	303900	250502	303206	323057	260341	227474	316623	230772	295104	318724	25208	102492	67172	51593	93403	37660	75506	47638	145010
Gidoni_2019:S12	218150	47512	164340	144565	216527	194907	199868	533293	218748	180119	199846	167239	186750	177540	194579	154234	186429	165196	220124	215087	203063	190554	177126	206864	153308	216141	146305	196707	192801	197777	177882	222113	177422	227724	193475	186221	187932	161514	193204	193981	185727	186765	168509	184747	172079	180326	186644	164391	215533	202464	212216	205947	177385	217567	188576	216065	204993	195758	206476	200779	197889	185867	191570	212049	197354	179352	210717	186092	191154	174343	186334	174052	202167	192442	199323	203396	210799	203785	183461	189388	197846	187346	176559	193035	204666	219765	185587	214348	197146	186067	213323	202455	188638	196023	127212	205038	180171	210923	142656	175047	161072	386091	411944	412006	245196	37059	68638	39367	246404	214009	245774	249235	261823	285482	291698	270073	216128	263333	219430	281819	232158	330099	338965	322081	290871	285357	292442	285457	337711	323546	341626	280352	292142	340885	297077	335762	276206	327881	352799	282749	243714	342555	243592	327326	354409	27515	112507	72573	55164	102570	40567	83472	51785	160793
Gidoni_2019:S13	221199	47539	163029	145446	221737	199286	204336	218748	561359	187584	207633	171803	193075	181199	199311	157035	190580	169887	226213	218843	208285	196278	181248	210935	158698	221481	147190	199498	195245	200351	182686	230564	179586	233594	198594	189587	190485	162343	194972	201059	192370	190928	174852	189340	176476	185092	190333	168604	221780	206111	216318	209205	181878	222287	195173	221310	207385	197227	209742	202691	199894	189481	195783	216269	203160	182374	214686	192619	192244	175262	190534	178151	206055	195725	202682	208033	214726	208608	188790	193165	200155	191908	179639	196751	209126	222378	189965	220880	200450	192020	217551	206465	192468	200695	130147	209115	182721	218630	148188	179775	166954	400584	427524	427847	245617	36906	66859	40792	256622	221679	252821	254290	270932	294491	302785	279129	222564	270940	226210	290217	240719	345531	352952	334816	300758	295364	302439	296686	349461	337403	357777	290864	298821	352887	305174	346506	286465	345941	367387	295818	255498	359747	254943	340052	367005	26263	106228	69918	53644	99542	38357	79085	49533	157111
Gidoni_2019:S14	181612	37679	130762	122806	185538	174353	171822	180119	187584	432578	182318	151489	169784	160340	168373	129765	163148	152465	190535	182359	180199	166419	160729	175811	143084	188050	123795	169620	165988	173107	163090	200909	158448	198742	169845	159526	164499	132404	165926	174041	169240	165041	154651	162900	154468	161332	161449	146854	186266	169945	179533	172861	153511	184076	171205	184687	177296	168230	178760	170685	165634	157260	168287	179800	178128	153947	177451	165094	159565	149390	159587	152958	171301	164571	165171	177676	180592	173306	160280	167361	169414	162249	150620	164979	175080	182858	164933	184121	165731	166092	186600	171101	168127	173933	118140	175363	157469	190661	136079	162727	149745	316767	336057	337277	208146	28548	56758	32375	213510	186727	205203	206453	225713	243343	248754	230295	189559	228719	191597	238931	204128	274653	282295	264248	252454	246407	250013	249367	281709	277233	291966	237983	237496	284680	252308	280715	239398	285870	298195	245917	213978	300971	220010	272650	292825	24141	91714	57681	45779	84392	33843	64944	43778	125565
