id	description	t20
Abituzumab	Abituzumab VH (threshold 0.43)	73.98317
Abituzumab	Abituzumab VL (threshold 0.619)	72.80377
Afutuzumab	Afutuzumab VH (threshold 0.83)	71.55467
Afutuzumab	Afutuzumab VL (threshold 0.562)	83.25897
Alacizumab	Alacizumab VH (threshold 0.935)	82.22227
Alacizumab	Alacizumab VL (threshold 0.6859999999999999)	67.61687
Alemtuzumab	Alemtuzumab VH (threshold 0.835)	76.52897
Alemtuzumab	Alemtuzumab VL (threshold 0.8420000000000001)	66.7296
Anrukinzumab	Anrukinzumab VH (threshold 0.88)	70.21197
Anrukinzumab	Anrukinzumab VL (threshold 0.809)	68.06317
Atezolizumab	Atezolizumab VH (threshold 0.975)	80.46617
Atezolizumab	Atezolizumab VL (threshold 0.941)	73.03747
Bapineuzumab	Bapineuzumab VH (threshold 0.97)	69.32777
Bapineuzumab	Bapineuzumab VL (threshold 0.6579999999999999)	81.91967
Bemarituzumab	Bemarituzumab VH (threshold 0.745)	76.83767
Bemarituzumab	Bemarituzumab VL (threshold 0.725)	70.84117
Benralizumab	Benralizumab VH (threshold 0.61)	71.94217
Benralizumab	Benralizumab VL (threshold 0.981)	66.26177
Bevacizumab	Bevacizumab VH (threshold 0.81)	68.69927
Bevacizumab	Bevacizumab VL (threshold 0.899)	74.39257
Blosozumab	Blosozumab VH (threshold 0.985)	72.03397
Blosozumab	Blosozumab VL (threshold 0.8420000000000001)	69.11217
Bococizumab	Bococizumab VH (threshold 0.87)	78.22037
Bococizumab	Bococizumab VL (threshold 0.9009999999999999)	72.28977
Brontictuzumab	Brontictuzumab VH (threshold 0.735)	71.4056
Brontictuzumab	Brontictuzumab VL (threshold 0.72)	64.27277
Cabiralizumab	Cabiralizumab VH (threshold 0.89)	73.07387
Cabiralizumab	Cabiralizumab VL (threshold 0.78)	68.0186
Camrelizumab	Camrelizumab VH (threshold 0.88)	71.4536
Camrelizumab	Camrelizumab VL (threshold 0.8859999999999999)	71.86927
Cantuzumab	Cantuzumab VH (threshold 0.29)	72.05887
Cantuzumab	Cantuzumab VL (threshold 0.182)	78.92867
Cergutuzumab	Cergutuzumab VH (threshold 0.98)	68.96697
Cergutuzumab	Cergutuzumab VL (threshold 0.887)	63.47227
Certolizumab	Certolizumab VH (threshold 0.855)	66.8226
Certolizumab	Certolizumab VL (threshold 0.862)	70.23367
Citatuzumab	Citatuzumab VH (threshold 0.455)	65.85477
Citatuzumab	Citatuzumab VL (threshold 0.787)	81.96437
Clivatuzumab	Clivatuzumab VH (threshold 0.515)	73.61347
Clivatuzumab	Clivatuzumab VL (threshold 0.82)	64.5376
Codrituzumab	Codrituzumab VH (threshold 0.965)	73.80347
Codrituzumab	Codrituzumab VL (threshold 0.738)	80.49117
Cofetuzumab	Cofetuzumab VH (threshold 0.795)	62.18497
Cofetuzumab	Cofetuzumab VL (threshold 0.76)	66.71177
Concizumab	Concizumab VH (threshold 0.445)	70.86787
Concizumab	Concizumab VL (threshold 0.8740000000000001)	76.91967
Crenezumab	Crenezumab VH (threshold 0.865)	67.05137
