id	description	t20
AntiCD28	AntiCD28 VH	83.29177
AntiCD28	AntiCD28 VL	68.48217
Bevacizumab	Bevacizumab VH	83.65857
Bevacizumab	Bevacizumab VL	89.15897
Campath	Campath VH	80.70257
Campath	Campath VL	86.40197
Certolizumab	Certolizumab VH	84.15257
Certolizumab	Certolizumab VL	88.45797
Clazakizumab	Clazakizumab VH	79.41677
Clazakizumab	Clazakizumab VL	85.04
Crizanlizumab	Crizanlizumab VH	81.47547
Crizanlizumab	Crizanlizumab VL	72.43247
Eculizumab	Eculizumab VH	79.05747
Eculizumab	Eculizumab VL	83.92527
Etaracizumab	Etaracizumab VH	88.50437
Etaracizumab	Etaracizumab VL	69.53277
Herceptin	Herceptin VH	83.04177
Herceptin	Herceptin VL	87.99077
Idarucizumab	Idarucizumab VH	82.6236
Idarucizumab	Idarucizumab VL	85.13397
Ixekizumab	Ixekizumab VH	79.87397
Ixekizumab	Ixekizumab VL	91.56257
Ligelizumab	Ligelizumab VH	80.20337
Ligelizumab	Ligelizumab VL	67.10287
Lorvotuzumab	Lorvotuzumab VH	86.22887
Lorvotuzumab	Lorvotuzumab VL	89.73217
Mogamulizumab	Mogamulizumab VH	83.57147
Mogamulizumab	Mogamulizumab VL	85.53577
Omalizumab	Omalizumab VH	83.8436
Omalizumab	Omalizumab VL	72.83787
Palivizumab	Palivizumab VH	83.54177
Palivizumab	Palivizumab VL	80.12667
Pembrolizumab	Pembrolizumab VH	84.1256
Pembrolizumab	Pembrolizumab VL	69.50457
Pertuzumab	Pertuzumab VH	80.88247
Pertuzumab	Pertuzumab VL	87.47667
Pinatuzumab	Pinatuzumab VH	81.16677
Pinatuzumab	Pinatuzumab VL	85.89297
Refanezumab	Refanezumab VH	83.92867
Refanezumab	Refanezumab VL	95.04
Reslizumab	Reslizumab VH	85.64667
Reslizumab	Reslizumab VL	89.4866
Rovalpituzumab	Rovalpituzumab VH	87.41537
Rovalpituzumab	Rovalpituzumab VL	85.09357
Solanezumab	Solanezumab VH	100.05
Solanezumab	Solanezumab VL	91.11617
Talacotuzumab	Talacotuzumab VH	84.79177
Talacotuzumab	Talacotuzumab VL	91.37177
Tocilizumab	Tocilizumab VH	88.69757
Tocilizumab	Tocilizumab VL	90.32717
