id	description	t20
AntiCD28	AntiCD28 VH	66.16677
AntiCD28	AntiCD28 VL	73.16967
Campath	Campath VH	63.09927
Campath	Campath VL	77.61687
Bevacizumab	Bevacizumab VH	63.33337
Bevacizumab	Bevacizumab VL	83.55147
Herceptin	Herceptin VH	69.95837
Herceptin	Herceptin VL	78.83187
Omalizumab	Omalizumab VH	62.47937
Omalizumab	Omalizumab VL	83.37847
Eculizumab	Eculizumab VH	71.10667
Eculizumab	Eculizumab VL	78.36457
Tocilizumab	Tocilizumab VH	79.28577
Tocilizumab	Tocilizumab VL	80.5146
Pembrolizumab	Pembrolizumab VH	74.45837
Pembrolizumab	Pembrolizumab VL	75.09017
Pertuzumab	Pertuzumab VH	64.45387
Pertuzumab	Pertuzumab VL	79.85987
Ixekizumab	Ixekizumab VH	69.53787
Ixekizumab	Ixekizumab VL	86.8756
Palivizumab	Palivizumab VH	77.04177
Palivizumab	Palivizumab VL	73.54437
Certolizumab	Certolizumab VH	63.72887
Certolizumab	Certolizumab VL	77.47667
Idarucizumab	Idarucizumab VH	68.44267
Idarucizumab	Idarucizumab VL	83.52687
Reslizumab	Reslizumab VH	65.21557
Reslizumab	Reslizumab VL	75.5146
Solanezumab	Solanezumab VH	92.69237
Solanezumab	Solanezumab VL	86.83047
Lorvotuzumab	Lorvotuzumab VH	83.94077
Lorvotuzumab	Lorvotuzumab VL	87.05367
Pinatuzumab	Pinatuzumab VH	65.6256
Pinatuzumab	Pinatuzumab VL	74.41967
Etaracizumab	Etaracizumab VH	82.64967
Etaracizumab	Etaracizumab VL	77.66367
Talacotuzumab	Talacotuzumab VH	69.04
Talacotuzumab	Talacotuzumab VL	85.39827
Rovalpituzumab	Rovalpituzumab VH	72.11867
Rovalpituzumab	Rovalpituzumab VL	75.04677
Clazakizumab	Clazakizumab VH	67.04557
Clazakizumab	Clazakizumab VL	67.86367
Ligelizumab	Ligelizumab VH	68.53667
Ligelizumab	Ligelizumab VL	76.40197
Crizanlizumab	Crizanlizumab VH	72.29517
Crizanlizumab	Crizanlizumab VL	82.38747
Mogamulizumab	Mogamulizumab VH	73.94967
Mogamulizumab	Mogamulizumab VL	80.58047
Refanezumab	Refanezumab VH	82.22227
Refanezumab	Refanezumab VL	90.04
