id	description	t20
Abituzumab	Abituzumab VH	83.30517
Abituzumab	Abituzumab VL	87.00937
Afutuzumab	Afutuzumab VH	81.63877
Afutuzumab	Afutuzumab VL	88.755
Alacizumab	Alacizumab VH	87.64967
Alacizumab	Alacizumab VL	87.05617
Alemtuzumab	Alemtuzumab VH	81.19837
Alemtuzumab	Alemtuzumab VL	85.60757
Anrukinzumab	Anrukinzumab VH	86.27127
Anrukinzumab	Anrukinzumab VL	84.14417
Atezolizumab	Atezolizumab VH	88.13567
Atezolizumab	Atezolizumab VL	91.54217
Bapineuzumab	Bapineuzumab VH	86.72277
Bapineuzumab	Bapineuzumab VL	85.66967
Bemarituzumab	Bemarituzumab VH	100.05
Bemarituzumab	Bemarituzumab VL	86.26177
Benralizumab	Benralizumab VH	82.76867
Benralizumab	Benralizumab VL	87.61687
Bevacizumab	Bevacizumab VH	79.43097
Bevacizumab	Bevacizumab VL	88.73837
Blosozumab	Blosozumab VH	80.59327
Blosozumab	Blosozumab VL	85.14027
Bococizumab	Bococizumab VH	86.52547
Bococizumab	Bococizumab VL	87.00937
Brontictuzumab	Brontictuzumab VH	77.5626
Brontictuzumab	Brontictuzumab VL	82.055
Cabiralizumab	Cabiralizumab VH	82.86897
Cabiralizumab	Cabiralizumab VL	80.94597
Camrelizumab	Camrelizumab VH	100.05
Camrelizumab	Camrelizumab VL	87.7576
Cantuzumab	Cantuzumab VH	86.05047
Cantuzumab	Cantuzumab VL	87.14297
Cergutuzumab	Cergutuzumab VH	76.94217
Cergutuzumab	Cergutuzumab VL	82.87047
Certolizumab	Certolizumab VH	85.3396
Certolizumab	Certolizumab VL	88.73837
Citatuzumab	Citatuzumab VH	100.05
Citatuzumab	Citatuzumab VL	80.49117
Clivatuzumab	Clivatuzumab VH	84.53787
Clivatuzumab	Clivatuzumab VL	85.13897
Codrituzumab	Codrituzumab VH	95.04
Codrituzumab	Codrituzumab VL	86.29467
Cofetuzumab	Cofetuzumab VH	81.97487
Cofetuzumab	Cofetuzumab VL	84.63967
Concizumab	Concizumab VH	82.52077
Concizumab	Concizumab VL	85.04467
Crenezumab	Crenezumab VH	100.05
Crenezumab	Crenezumab VL	86.8756
Crizanlizumab	Crizanlizumab VH	81.51647
Crizanlizumab	Crizanlizumab VL	87.38747
Dacetuzumab	Dacetuzumab VH	92.30777
Dacetuzumab	Dacetuzumab VL	80.44647
Daclizumab	Daclizumab VH	100.05
Daclizumab	Daclizumab VL	81.83547
Dalotuzumab	Dalotuzumab VH	89.14537
Dalotuzumab	Dalotuzumab VL	86.8756
Dapirolizumab	Dapirolizumab VH	79.15257
Dapirolizumab	Dapirolizumab VL	82.71037
Demcizumab	Demcizumab VH	83.82357
Demcizumab	Demcizumab VL	80.54057
Denintuzumab	Denintuzumab VH	81.54177
Denintuzumab	Denintuzumab VL	82.21527
Dezamizumab	Dezamizumab VH	82.90987
Dezamizumab	Dezamizumab VL	86.40197
Domagrozumab	Domagrozumab VH	100.05
Domagrozumab	Domagrozumab VL	90.28047
Duligotuzumab	Duligotuzumab VH	84.09097
Duligotuzumab	Duligotuzumab VL	90.5146
Eculizumab	Eculizumab VH	79.05747
Eculizumab	Eculizumab VL	84.11217
Efalizumab	Efalizumab VH	80.28937
Efalizumab	Efalizumab VL	89.29917
Elotuzumab	Elotuzumab VH	83.10927
Elotuzumab	Elotuzumab VL	85.04677
Emactuzumab	Emactuzumab VH	88.87937
Emactuzumab	Emactuzumab VL	97.91677
Emibetuzumab	Emibetuzumab VH	100.05
Emibetuzumab	Emibetuzumab VL	84.58337
Emicizumab	Emicizumab VH	76.21857
Emicizumab	Emicizumab VL	84.53277
Enavatuzumab	Enavatuzumab VH	83.78157
Enavatuzumab	Enavatuzumab VL	85.81087
Enoblituzumab	Enoblituzumab VH	85.86077
Enoblituzumab	Enoblituzumab VL	85.42067
Enokizumab	Enokizumab VH	82.86897
Enokizumab	Enokizumab VL	85.04677
Epratuzumab	Epratuzumab VH	96.53857
Epratuzumab	Epratuzumab VL	100.05
Etaracizumab	Etaracizumab VH	82.94877
Etaracizumab	Etaracizumab VL	85.74777
Farletuzumab	Farletuzumab VH	86.63877
Farletuzumab	Farletuzumab VL	82.63647
Fibatuzumab	Fibatuzumab VH	87.37297
Fibatuzumab	Fibatuzumab VL	91.82247
Ficlatuzumab	Ficlatuzumab VH	88.1786
Ficlatuzumab	Ficlatuzumab VL	86.35517
Flotetuzumab	Flotetuzumab VH	84.79177
Flotetuzumab	Flotetuzumab VL	91.37177
Fontolizumab	Fontolizumab VH	82.47867
Fontolizumab	Fontolizumab VL	84.34587
Fremanezumab	Fremanezumab VH	80.40987
Fremanezumab	Fremanezumab VL	85.5146
Galcanezumab	Galcanezumab VH	80.46227
Galcanezumab	Galcanezumab VL	87.33647
Gatipotuzumab	Gatipotuzumab VH	100.05
Gatipotuzumab	Gatipotuzumab VL	88.88397
Gemtuzumab	Gemtuzumab VH	100.05
Gemtuzumab	Gemtuzumab VL	81.35147
Gevokizumab	Gevokizumab VH	81.54177
Gevokizumab	Gevokizumab VL	87.42997
Ibalizumab	Ibalizumab VH	82.86897
Ibalizumab	Ibalizumab VL	100.05
Idarucizumab	Idarucizumab VH	82.6236
Idarucizumab	Idarucizumab VL	87.18757
Ifabotuzumab	Ifabotuzumab VH	87.37297
Ifabotuzumab	Ifabotuzumab VL	91.82247
Iladatuzumab	Iladatuzumab VH	83.97447
Iladatuzumab	Iladatuzumab VL	87.25237
Imgatuzumab	Imgatuzumab VH	83.91677
Imgatuzumab	Imgatuzumab VL	97.91677
Inebilizumab	Inebilizumab VH	82.35547
Inebilizumab	Inebilizumab VL	67.16227
Inotuzumab	Inotuzumab VH	83.18187
Inotuzumab	Inotuzumab VL	81.02687
Itolizumab	Itolizumab VH	85.79837
Itolizumab	Itolizumab VL	84.67297
Ixekizumab	Ixekizumab VH	83.52947
Ixekizumab	Ixekizumab VL	85.58047
Labetuzumab	Labetuzumab VH	81.89087
Labetuzumab	Labetuzumab VL	92.91677
Lacnotuzumab	Lacnotuzumab VH	89.40687
Lacnotuzumab	Lacnotuzumab VL	67.94397
Ladiratuzumab	Ladiratuzumab VH	85.58337
Ladiratuzumab	Ladiratuzumab VL	88.88397
Lambrolizumab	Lambrolizumab VH	84.79177
Lambrolizumab	Lambrolizumab VL	83.55867
Lampalizumab	Lampalizumab VH	92.69237
Lampalizumab	Lampalizumab VL	80.70097
Landogrozumab	Landogrozumab VH	100.05
Landogrozumab	Landogrozumab VL	85.74077
Lebrikizumab	Lebrikizumab VH	79.83057
Lebrikizumab	Lebrikizumab VL	81.93697
Lifastuzumab	Lifastuzumab VH	84.08337
Lifastuzumab	Lifastuzumab VL	80.04467
Ligelizumab	Ligelizumab VH	79.75617
Ligelizumab	Ligelizumab VL	84.76647
Lintuzumab	Lintuzumab VH	100.05
Lintuzumab	Lintuzumab VL	85.45057
Lorvotuzumab	Lorvotuzumab VH	87.28817
Lorvotuzumab	Lorvotuzumab VL	89.68757
Lumretuzumab	Lumretuzumab VH	83.54177
Lumretuzumab	Lumretuzumab VL	92.21247
Lutikizumab	Lutikizumab VH	84.45387
Lutikizumab	Lutikizumab VL	84.81317
Matuzumab	Matuzumab VH	84.25627
