id	description	t20
Abituzumab	Abituzumab VH	78.98317
Abituzumab	Abituzumab VL	85.93467
Afutuzumab	Afutuzumab VH	76.84877
Afutuzumab	Afutuzumab VL	88.755
Alacizumab	Alacizumab VH	87.64967
Alacizumab	Alacizumab VL	83.87857
Alemtuzumab	Alemtuzumab VH	73.8436
Alemtuzumab	Alemtuzumab VL	83.87857
Anrukinzumab	Anrukinzumab VH	85.42377
Anrukinzumab	Anrukinzumab VL	82.79287
Atezolizumab	Atezolizumab VH	85.59327
Atezolizumab	Atezolizumab VL	91.54217
Bapineuzumab	Bapineuzumab VH	83.82357
Bapineuzumab	Bapineuzumab VL	83.83937
Bemarituzumab	Bemarituzumab VH	100.05
Bemarituzumab	Bemarituzumab VL	86.26177
Benralizumab	Benralizumab VH	77.76867
Benralizumab	Benralizumab VL	86.77577
Bevacizumab	Bevacizumab VH	72.19517
Bevacizumab	Bevacizumab VL	89.34587
Blosozumab	Blosozumab VH	74.15257
Blosozumab	Blosozumab VL	85.14027
Bococizumab	Bococizumab VH	82.28817
Bococizumab	Bococizumab VL	87.00937
Brontictuzumab	Brontictuzumab VH	76.61167
Brontictuzumab	Brontictuzumab VL	79.555
Cabiralizumab	Cabiralizumab VH	78.40167
Cabiralizumab	Cabiralizumab VL	80.94597
Camrelizumab	Camrelizumab VH	100.05
Camrelizumab	Camrelizumab VL	87.7576
Cantuzumab	Cantuzumab VH	85.21017
Cantuzumab	Cantuzumab VL	86.255
Cergutuzumab	Cergutuzumab VH	71.94217
Cergutuzumab	Cergutuzumab VL	80.37047
Certolizumab	Certolizumab VH	79.44927
Certolizumab	Certolizumab VL	89.4866
Citatuzumab	Citatuzumab VH	100.05
Citatuzumab	Citatuzumab VL	79.55367
Clivatuzumab	Clivatuzumab VH	79.9586
Clivatuzumab	Clivatuzumab VL	82.54637
Codrituzumab	Codrituzumab VH	95.04
Codrituzumab	Codrituzumab VL	85.98217
Cofetuzumab	Cofetuzumab VH	77.10087
