id	description	t20
AntiCD28	AntiCD28 VH Sapiens 1iter parental Chothia CDRs	84.8756
AntiCD28	AntiCD28 VL Sapiens 1iter parental Chothia CDRs	76.20547
Campath	Campath VH Sapiens 1iter parental Chothia CDRs	85.66127
Campath	Campath VL Sapiens 1iter parental Chothia CDRs	85.46737
Bevacizumab	Bevacizumab VH Sapiens 1iter parental Chothia CDRs	83.73987
Bevacizumab	Bevacizumab VL Sapiens 1iter parental Chothia CDRs	89.25237
Herceptin	Herceptin VH Sapiens 1iter parental Chothia CDRs	77.79177
Herceptin	Herceptin VL Sapiens 1iter parental Chothia CDRs	88.92527
Omalizumab	Omalizumab VH Sapiens 1iter parental Chothia CDRs	83.34717
Omalizumab	Omalizumab VL Sapiens 1iter parental Chothia CDRs	79.09917
Eculizumab	Eculizumab VH Sapiens 1iter parental Chothia CDRs	75.86077
Eculizumab	Eculizumab VL Sapiens 1iter parental Chothia CDRs	83.69167
Tocilizumab	Tocilizumab VH Sapiens 1iter parental Chothia CDRs	88.23537
Tocilizumab	Tocilizumab VL Sapiens 1iter parental Chothia CDRs	90.32717
Pembrolizumab	Pembrolizumab VH Sapiens 1iter parental Chothia CDRs	87.70837
Pembrolizumab	Pembrolizumab VL Sapiens 1iter parental Chothia CDRs	73.46857
Pertuzumab	Pertuzumab VH Sapiens 1iter parental Chothia CDRs	79.9166
Pertuzumab	Pertuzumab VL Sapiens 1iter parental Chothia CDRs	88.69167
Ixekizumab	Ixekizumab VH Sapiens 1iter parental Chothia CDRs	77.89927
Ixekizumab	Ixekizumab VL Sapiens 1iter parental Chothia CDRs	86.29467
Palivizumab	Palivizumab VH Sapiens 1iter parental Chothia CDRs	86.91677
Palivizumab	Palivizumab VL Sapiens 1iter parental Chothia CDRs	74.76647
Certolizumab	Certolizumab VH Sapiens 1iter parental Chothia CDRs	84.3226
Certolizumab	Certolizumab VL Sapiens 1iter parental Chothia CDRs	89.39257
Idarucizumab	Idarucizumab VH Sapiens 1iter parental Chothia CDRs	73.48367
Idarucizumab	Idarucizumab VL Sapiens 1iter parental Chothia CDRs	83.97327
Reslizumab	Reslizumab VH Sapiens 1iter parental Chothia CDRs	84.13797
Reslizumab	Reslizumab VL Sapiens 1iter parental Chothia CDRs	89.4866
Solanezumab	Solanezumab VH Sapiens 1iter parental Chothia CDRs	90.25647
Solanezumab	Solanezumab VL Sapiens 1iter parental Chothia CDRs	86.07147
Lorvotuzumab	Lorvotuzumab VH Sapiens 1iter parental Chothia CDRs	89.23737
Lorvotuzumab	Lorvotuzumab VL Sapiens 1iter parental Chothia CDRs	84.91077
Pinatuzumab	Pinatuzumab VH Sapiens 1iter parental Chothia CDRs	78.04
Pinatuzumab	Pinatuzumab VL Sapiens 1iter parental Chothia CDRs	84.73217
Etaracizumab	Etaracizumab VH Sapiens 1iter parental Chothia CDRs	88.16247
Etaracizumab	Etaracizumab VL Sapiens 1iter parental Chothia CDRs	84.71967
Talacotuzumab	Talacotuzumab VH Sapiens 1iter parental Chothia CDRs	84.1256
Talacotuzumab	Talacotuzumab VL Sapiens 1iter parental Chothia CDRs	91.37177
Rovalpituzumab	Rovalpituzumab VH Sapiens 1iter parental Chothia CDRs	90.63567
Rovalpituzumab	Rovalpituzumab VL Sapiens 1iter parental Chothia CDRs	79.53277
Clazakizumab	Clazakizumab VH Sapiens 1iter parental Chothia CDRs	71.755
Clazakizumab	Clazakizumab VL Sapiens 1iter parental Chothia CDRs	84.04
Ligelizumab	Ligelizumab VH Sapiens 1iter parental Chothia CDRs	76.01637
Ligelizumab	Ligelizumab VL Sapiens 1iter parental Chothia CDRs	81.68227
Crizanlizumab	Crizanlizumab VH Sapiens 1iter parental Chothia CDRs	79.8776
Crizanlizumab	Crizanlizumab VL Sapiens 1iter parental Chothia CDRs	78.69377
Mogamulizumab	Mogamulizumab VH Sapiens 1iter parental Chothia CDRs	85.75637
Mogamulizumab	Mogamulizumab VL Sapiens 1iter parental Chothia CDRs	82.27687
Refanezumab	Refanezumab VH Sapiens 1iter parental Chothia CDRs	85.39687
Refanezumab	Refanezumab VL Sapiens 1iter parental Chothia CDRs	93.09737
