id	description	t20
Abituzumab	Abituzumab VH (Humanized by BioPhi Sapiens)	79.74587
Abituzumab	Abituzumab VL (Humanized by BioPhi Sapiens)	87.10287
Afutuzumab	Afutuzumab VH (Humanized by BioPhi Sapiens)	73.10927
Afutuzumab	Afutuzumab VL (Humanized by BioPhi Sapiens)	88.48217
Alacizumab	Alacizumab VH (Humanized by BioPhi Sapiens)	86.23937
Alacizumab	Alacizumab VL (Humanized by BioPhi Sapiens)	87.00937
Alemtuzumab	Alemtuzumab VH (Humanized by BioPhi Sapiens)	81.23977
Alemtuzumab	Alemtuzumab VL (Humanized by BioPhi Sapiens)	79.62627
Anrukinzumab	Anrukinzumab VH (Humanized by BioPhi Sapiens)	87.11867
Anrukinzumab	Anrukinzumab VL (Humanized by BioPhi Sapiens)	76.17127
Atezolizumab	Atezolizumab VH (Humanized by BioPhi Sapiens)	83.43227
Atezolizumab	Atezolizumab VL (Humanized by BioPhi Sapiens)	87.00937
Bapineuzumab	Bapineuzumab VH (Humanized by BioPhi Sapiens)	83.40347
Bapineuzumab	Bapineuzumab VL (Humanized by BioPhi Sapiens)	87.76797
Bemarituzumab	Bemarituzumab VH (Humanized by BioPhi Sapiens)	100.05
Bemarituzumab	Bemarituzumab VL (Humanized by BioPhi Sapiens)	83.55147
Benralizumab	Benralizumab VH (Humanized by BioPhi Sapiens)	78.5956
Benralizumab	Benralizumab VL (Humanized by BioPhi Sapiens)	83.22437
Bevacizumab	Bevacizumab VH (Humanized by BioPhi Sapiens)	80.40657
Bevacizumab	Bevacizumab VL (Humanized by BioPhi Sapiens)	88.50477
Blosozumab	Blosozumab VH (Humanized by BioPhi Sapiens)	72.37297
Blosozumab	Blosozumab VL (Humanized by BioPhi Sapiens)	82.28977
Bococizumab	Bococizumab VH (Humanized by BioPhi Sapiens)	83.89837
Bococizumab	Bococizumab VL (Humanized by BioPhi Sapiens)	85.79447
Brontictuzumab	Brontictuzumab VH (Humanized by BioPhi Sapiens)	76.44637
Brontictuzumab	Brontictuzumab VL (Humanized by BioPhi Sapiens)	79.64
Cabiralizumab	Cabiralizumab VH (Humanized by BioPhi Sapiens)	75.69677
Cabiralizumab	Cabiralizumab VL (Humanized by BioPhi Sapiens)	77.11717
Camrelizumab	Camrelizumab VH (Humanized by BioPhi Sapiens)	100.05
Camrelizumab	Camrelizumab VL (Humanized by BioPhi Sapiens)	86.77577
Cantuzumab	Cantuzumab VH (Humanized by BioPhi Sapiens)	83.73957
Cantuzumab	Cantuzumab VL (Humanized by BioPhi Sapiens)	86.16077
Cergutuzumab	Cergutuzumab VH (Humanized by BioPhi Sapiens)	78.76037
Cergutuzumab	Cergutuzumab VL (Humanized by BioPhi Sapiens)	75.87967
Certolizumab	Certolizumab VH (Humanized by BioPhi Sapiens)	80.6786
Certolizumab	Certolizumab VL (Humanized by BioPhi Sapiens)	84.11217
Citatuzumab	Citatuzumab VH (Humanized by BioPhi Sapiens)	100.05
Citatuzumab	Citatuzumab VL (Humanized by BioPhi Sapiens)	87.85717
Clivatuzumab	Clivatuzumab VH (Humanized by BioPhi Sapiens)	79.15977
Clivatuzumab	Clivatuzumab VL (Humanized by BioPhi Sapiens)	80.18527
Codrituzumab	Codrituzumab VH (Humanized by BioPhi Sapiens)	95.04
Codrituzumab	Codrituzumab VL (Humanized by BioPhi Sapiens)	86.56257
Cofetuzumab	Cofetuzumab VH (Humanized by BioPhi Sapiens)	73.69757
Cofetuzumab	Cofetuzumab VL (Humanized by BioPhi Sapiens)	72.92797
Concizumab	Concizumab VH (Humanized by BioPhi Sapiens)	80.95047
Concizumab	Concizumab VL (Humanized by BioPhi Sapiens)	85.89297
Crenezumab	Crenezumab VH (Humanized by BioPhi Sapiens)	100.05
Crenezumab	Crenezumab VL (Humanized by BioPhi Sapiens)	87.00897
Crizanlizumab	Crizanlizumab VH (Humanized by BioPhi Sapiens)	75.32797
Crizanlizumab	Crizanlizumab VL (Humanized by BioPhi Sapiens)	80.04
Dacetuzumab	Dacetuzumab VH (Humanized by BioPhi Sapiens)	92.30777
Dacetuzumab	Dacetuzumab VL (Humanized by BioPhi Sapiens)	85.31257
Daclizumab	Daclizumab VH (Humanized by BioPhi Sapiens)	100.05
Daclizumab	Daclizumab VL (Humanized by BioPhi Sapiens)	76.26587
Dalotuzumab	Dalotuzumab VH (Humanized by BioPhi Sapiens)	83.5476
Dalotuzumab	Dalotuzumab VL (Humanized by BioPhi Sapiens)	86.65187
Dapirolizumab	Dapirolizumab VH (Humanized by BioPhi Sapiens)	69.74587
Dapirolizumab	Dapirolizumab VL (Humanized by BioPhi Sapiens)	78.87857
Demcizumab	Demcizumab VH (Humanized by BioPhi Sapiens)	79.36977
Demcizumab	Demcizumab VL (Humanized by BioPhi Sapiens)	73.51357
Denintuzumab	Denintuzumab VH (Humanized by BioPhi Sapiens)	79.1256
Denintuzumab	Denintuzumab VL (Humanized by BioPhi Sapiens)	75.63297
Dezamizumab	Dezamizumab VH (Humanized by BioPhi Sapiens)	79.22137
Dezamizumab	Dezamizumab VL (Humanized by BioPhi Sapiens)	80.74777
Domagrozumab	Domagrozumab VH (Humanized by BioPhi Sapiens)	100.05
Domagrozumab	Domagrozumab VL (Humanized by BioPhi Sapiens)	86.54217
Duligotuzumab	Duligotuzumab VH (Humanized by BioPhi Sapiens)	80.57857
Duligotuzumab	Duligotuzumab VL (Humanized by BioPhi Sapiens)	83.36457
Eculizumab	Eculizumab VH (Humanized by BioPhi Sapiens)	72.5826
Eculizumab	Eculizumab VL (Humanized by BioPhi Sapiens)	80.04
Efalizumab	Efalizumab VH (Humanized by BioPhi Sapiens)	75.82647
Efalizumab	Efalizumab VL (Humanized by BioPhi Sapiens)	87.89727
Elotuzumab	Elotuzumab VH (Humanized by BioPhi Sapiens)	81.00847
Elotuzumab	Elotuzumab VL (Humanized by BioPhi Sapiens)	81.54217
Emactuzumab	Emactuzumab VH (Humanized by BioPhi Sapiens)	83.83627
Emactuzumab	Emactuzumab VL (Humanized by BioPhi Sapiens)	97.91677
Emibetuzumab	Emibetuzumab VH (Humanized by BioPhi Sapiens)	100.05
Emibetuzumab	Emibetuzumab VL (Humanized by BioPhi Sapiens)	81.11117
Emicizumab	Emicizumab VH (Humanized by BioPhi Sapiens)	71.26057
Emicizumab	Emicizumab VL (Humanized by BioPhi Sapiens)	79.57947
Enavatuzumab	Enavatuzumab VH (Humanized by BioPhi Sapiens)	80.84037
Enavatuzumab	Enavatuzumab VL (Humanized by BioPhi Sapiens)	76.66677
Enoblituzumab	Enoblituzumab VH (Humanized by BioPhi Sapiens)	82.99187
