	AbLSTM_score
3F8 VH	1.2729849
moAb_81C6 VH	1.295034
Pexelizumab VH	0.69658166
Arcitumomab VH	0.81382805
Blinatumomab VH	1.5261755
Ibritumomab VH	1.3543398
MuromonabCD3 VH	1.2806395
Satumomab VH	1.3475761
Tositumomab VH	1.3683499
Abciximab VH	1.2660764
Basiliximab VH	1.3345908
Bavituximab VH	1.3750609
Cetuximab VH	1.4282376
Rituximab VH	1.2812606
Siltuximab VH	0.9207606
Alemtuzumab VH	0.8534309
Atezolizumab VH	0.6053434
Bevacizumab VH	0.8670985
Certolizumab VH	0.74315083
Daclizumab VH	0.6181934
Elotuzumab VH	0.70609426
Farletuzumab VH	0.75120693
Gemtuzumab VH	1.0434077
Idarucizumab VH	0.91709673
Ixekizumab VH	0.65609837
Matuzumab VH	0.68336314
Omalizumab VH	0.88085234
Oportuzumab VH	1.0079031
Pembrolizumab VH	0.88083404
Pertuzumab VH	0.8024264
Ranibizumab VH	0.96954757
Trastuzumab VH	0.765754
Vedolizumab VH	0.7058709
Adalimumab VH	0.43690428
Denosumab VH	0.31204173
Durvalumab VH	0.2600917
Ipilimumab VH	0.36870143
Necitumumab VH	0.31430563
Nivolumab VH	0.44565064
Ofatumumab VH	0.31198192
Olaratumab VH	0.61950636
Ramucirumab VH	0.21325321
Secukinumab VH	0.49720198
Zalutumumab VH	0.3998799
Moxetumomab VH	0.9225978
Abagovomab VH	1.304958
Begelomab VH	1.1364555
PankoMab VH	0.66937566
Infliximab VH	1.1256084
Eculizumab VH	0.6682833
Natalizumab VH	0.6856108
Golimumab VH	0.37474304
Ustekinumab VH	0.5076183
Tocilizumab VH	0.6739268
Avelumab VH	0.5266805
Canakinumab VH	0.3631978
Panitumumab VH	0.44985202
Brentuximab VH	1.2707337
Daratumumab VH	0.4198099
Obinutuzumab VH	0.78536236
Dinutuximab VH	1.311592
Polatuzumab VH	0.9017877
Concizumab VH	0.6650487
Gevokizumab VH	0.79029936
Lebrikizumab VH	0.7941062
Clivatuzumab VH	0.8369526
Obexelimab VH	0.6999404
Talacotuzumab VH	0.8493881
Vatelizumab VH	0.8098251
Erenumab VH	0.47364417
Tezepelumab VH	0.45798504
Tralokinumab VH	0.39440766
Berlimatoxumab VH	0.41070288
Coltuximab VH	1.0836477
Ficlatuzumab VH	0.7738985
Ocaratuzumab VH	0.9131375
Ozanezumab VH	0.6174228
Temelimab VH	0.8050788
Veltuzumab VH	0.97181
Navicixizumab VH	0.6458801
Palivizumab VH	0.6435332
Reslizumab VH	0.715879
Naptumomab VH	1.2830534
Xentuzumab VH	0.4966859
Andecaliximab VH	0.7467815
Ibalizumab VH	1.0678885
Ublituximab VH	1.3100463
Zolbetuximab VH	1.3138504
Fontolizumab VH	0.9891935
Futuximab VH	1.4392859
Labetuzumab VH	0.8891803
Modotuximab VH	1.3337803
Tomuzotuximab VH	1.4156561
Tigatuzumab VH	0.48887938
Gremubamab VH	0.52997434
Inclacumab VH	0.45947498
Ponezumab VH	0.69408345
Setrusumab VH	0.4880614
Tremelimumab VH	0.23100013
Rovalpituzumab VH	0.49485585
Fulranumab VH	0.47007304
Guselkumab VH	0.37812015
Galcanezumab VH	0.8840592
Inotuzumab VH	0.82351774
Netakimab VH	1.1484369
Ocrelizumab VH	0.8563866
Risankizumab VH	0.8898577
Romosozumab VH	0.7830962
Sarilumab VH	0.33366534
Tildrakizumab VH	0.5824028
Toripalimab VH	0.97149974
Ravulizumab VH	0.6853211
Racotumomab VH	1.0890485
Zolimomab VH	1.2806395
Aducanumab VH	0.38181826
Anifrolumab VH	0.39926654
Bococizumab VH	0.5926957
Bimekizumab VH	0.6847373
Birtamimab VH	0.5761296
Brazikumab VH	0.21217167
Clazakizumab VH	0.70528865
Crenezumab VH	0.41710946
Depatuxizumab VH	0.7365717
Etrolizumab VH	0.6860098
Ganitumab VH	0.25661093
Glembatumumab VH	0.3704349
Ligelizumab VH	1.0483618
Motavizumab VH	0.74138796
Nirsevimab VH	0.8481136
Olokizumab VH	0.7874174
Onartuzumab VH	0.93390346
Pamrevlumab VH	0.5776477
Roledumab VH	0.7562542
Sirukumab VH	0.6437406
Solanezumab VH	0.5002151
Suptavumab VH	0.5456146
Sutimlimab VH	0.48838428
Tabalumab VH	0.25039583
Tafasitamab VH	0.6999404
Ticilimumab VH	0.23100013
Abrilumab VH	0.2721308
Amatuximab VH	1.2953972
Bleselumab VH	0.53314316
Cendakimab VH	0.88982785
Cinpanemab VH	0.5910596
Conatumumab VH	0.36302596
Dacetuzumab VH	0.8147971
Dalotuzumab VH	0.6482926
Dapirolizumab VH	0.90221715
Disitamab VH	0.82585686
Dusigitumab VH	0.16524501
Eldelumab VH	0.4778066
Emibetuzumab VH	0.48030445
Enokizumab VH	0.6588343
Fletikumab VH	0.6117219
Frovocimab VH	0.6369194
Galiximab VH	0.9603101
Gancotamab VH	0.44700134
Gatipotuzumab VH	0.66937566
Gedivumab VH	0.7644816
Gosuranemab VH	0.7238387
Icrucumab VH	0.4543897
Imalumab VH	0.30840766
Indusatumab VH	0.37301302
Etaracizumab VH	0.6120241
Iscalimab VH	0.43230912
Levilimab VH	0.6675885
Lifastuzumab VH	0.59610826
Lintuzumab VH	0.6638589
Loncastuximab VH	1.0836477
Lorvotuzumab VH	0.37210387
Lutikizumab VH	0.6988928
Mavrilimumab VH	0.48651418
Namilumab VH	0.60517085
Ontuxizumab VH	1.2595263
Opicinumab VH	0.49714294
Otlertuzumab VH	0.61871064
Parsatuzumab VH	0.9231739
Pateclizumab VH	0.9373441
Pinatuzumab VH	0.91713166
Prasinezumab VH	0.41750434
Prezalumab VH	0.40318927
Refanezumab VH	0.5973517
Robatumumab VH	0.39950418
Sifalimumab VH	0.28838548
Suvratoxumab VH	0.4015171
Tarextumab VH	0.43763167
Tovetumab VH	0.2678357
Mogamulizumab VH	0.6082715
Varlilumab VH	0.23023666
Utomilumab VH	0.3790357
Domagrozumab VH	0.38480783
Gantenerumab VH	0.71142775
Lanadelumab VH	0.6578521
Itolizumab VH	0.61183256
Fremanezumab VH	0.7128527
Evolocumab VH	0.41153258
Enfortumab VH	0.25671032
Emicizumab VH	0.95330566
Emapalumab VH	0.22201666
Efalizumab VH	0.86781263
Dupilumab VH	0.47381768
Crizanlizumab VH	0.7110777
Cemiplimab VH	0.51688236
Burosumab VH	0.3618433
Brodalumab VH	0.27394158
Bezlotoxumab VH	0.39196315
Benralizumab VH	0.8864719
Belimumab VH	0.8013435
Alirocumab VH	0.44676167
Afutuzumab VH	0.78536236
Obiltoxaximab VH	0.8055735
Mepolizumab VH	0.72476274
Actoxumab VH	0.44425675
Tosatoxumab VH	0.7039603
Derlotuximab VH	1.2293532
Edrecolomab VH	1.1925778
