id	description	t20
Abituzumab	Abituzumab VH (threshold 0.43)	73.98317
Abituzumab	Abituzumab VL (threshold 0.619)	79.01877
Afutuzumab	Afutuzumab VH (threshold 0.83)	71.55467
Afutuzumab	Afutuzumab VL (threshold 0.562)	85.04467
Alacizumab	Alacizumab VH (threshold 0.935)	82.22227
Alacizumab	Alacizumab VL (threshold 0.6859999999999999)	76.40197
Alemtuzumab	Alemtuzumab VH (threshold 0.835)	60.04
Alemtuzumab	Alemtuzumab VL (threshold 0.8420000000000001)	73.13087
Anrukinzumab	Anrukinzumab VH (threshold 0.88)	83.89837
Anrukinzumab	Anrukinzumab VL (threshold 0.809)	77.38747
Atezolizumab	Atezolizumab VH (threshold 0.975)	80.46617
Atezolizumab	Atezolizumab VL (threshold 0.941)	84.25237
Bapineuzumab	Bapineuzumab VH (threshold 0.97)	81.55467
Bapineuzumab	Bapineuzumab VL (threshold 0.6579999999999999)	84.55367
Bemarituzumab	Bemarituzumab VH (threshold 0.745)	76.83767
Bemarituzumab	Bemarituzumab VL (threshold 0.725)	78.59817
Benralizumab	Benralizumab VH (threshold 0.61)	71.94217
Benralizumab	Benralizumab VL (threshold 0.981)	83.87857
Bevacizumab	Bevacizumab VH (threshold 0.81)	62.88627
Bevacizumab	Bevacizumab VL (threshold 0.899)	85.23367
Blosozumab	Blosozumab VH (threshold 0.985)	72.03397
Blosozumab	Blosozumab VL (threshold 0.8420000000000001)	77.28977
Bococizumab	Bococizumab VH (threshold 0.87)	78.22037
Bococizumab	Bococizumab VL (threshold 0.9009999999999999)	79.81317
Brontictuzumab	Brontictuzumab VH (threshold 0.735)	71.4056
Brontictuzumab	Brontictuzumab VL (threshold 0.72)	75.22737
Cabiralizumab	Cabiralizumab VH (threshold 0.89)	73.07387
Cabiralizumab	Cabiralizumab VL (threshold 0.78)	74.18927
Camrelizumab	Camrelizumab VH (threshold 0.88)	83.07697
Camrelizumab	Camrelizumab VL (threshold 0.8859999999999999)	82.71037
Cantuzumab	Cantuzumab VH (threshold 0.29)	77.18497
Cantuzumab	Cantuzumab VL (threshold 0.182)	77.99117
Cergutuzumab	Cergutuzumab VH (threshold 0.98)	68.96697
Cergutuzumab	Cergutuzumab VL (threshold 0.887)	70.23157
Certolizumab	Certolizumab VH (threshold 0.855)	66.8226
Certolizumab	Certolizumab VL (threshold 0.862)	77.61687
Citatuzumab	Citatuzumab VH (threshold 0.455)	75.59837
Citatuzumab	Citatuzumab VL (threshold 0.787)	72.85717
