id	description	t20
Abituzumab	Abituzumab VH	70.08477
Abituzumab	Abituzumab VL	73.73837
Afutuzumab	Afutuzumab VH	64.36977
Afutuzumab	Afutuzumab VL	83.25897
Alacizumab	Alacizumab VH	77.99157
Alacizumab	Alacizumab VL	69.62627
Alemtuzumab	Alemtuzumab VH	68.8436
Alemtuzumab	Alemtuzumab VL	68.45797
Anrukinzumab	Anrukinzumab VH	80.29667
Anrukinzumab	Anrukinzumab VL	69.59467
Atezolizumab	Atezolizumab VH	75.84757
Atezolizumab	Atezolizumab VL	74.90657
Bapineuzumab	Bapineuzumab VH	75.58827
Bapineuzumab	Bapineuzumab VL	81.91967
Bemarituzumab	Bemarituzumab VH	92.30777
Bemarituzumab	Bemarituzumab VL	71.7296
Benralizumab	Benralizumab VH	67.39677
Benralizumab	Benralizumab VL	73.08417
Bevacizumab	Bevacizumab VH	71.05697
Bevacizumab	Bevacizumab VL	77.28977
Blosozumab	Blosozumab VH	61.22887
Blosozumab	Blosozumab VL	70.37387
Bococizumab	Bococizumab VH	71.05937
Bococizumab	Bococizumab VL	74.11217
Brontictuzumab	Brontictuzumab VH	65.49597
Brontictuzumab	Brontictuzumab VL	65.755
Cabiralizumab	Cabiralizumab VH	65.69677
Cabiralizumab	Cabiralizumab VL	69.77487
Camrelizumab	Camrelizumab VH	92.69237
Camrelizumab	Camrelizumab VL	73.73837
Cantuzumab	Cantuzumab VH	72.89927
Cantuzumab	Cantuzumab VL	78.92867
Cergutuzumab	Cergutuzumab VH	68.01657
Cergutuzumab	Cergutuzumab VL	64.86117
Certolizumab	Certolizumab VH	69.78817
Certolizumab	Certolizumab VL	71.07487
Citatuzumab	Citatuzumab VH	92.69237
Citatuzumab	Citatuzumab VL	82.85717
Clivatuzumab	Clivatuzumab VH	69.15977
Clivatuzumab	Clivatuzumab VL	65.64817
Codrituzumab	Codrituzumab VH	85.04
Codrituzumab	Codrituzumab VL	80.98217
Cofetuzumab	Cofetuzumab VH	59.87397
Cofetuzumab	Cofetuzumab VL	68.51357
Concizumab	Concizumab VH	75.95047
Concizumab	Concizumab VL	78.25897
Crenezumab	Crenezumab VH	92.69237
Crenezumab	Crenezumab VL	81.33937
Crizanlizumab	Crizanlizumab VH	66.06567
Crizanlizumab	Crizanlizumab VL	71.93697
Dacetuzumab	Dacetuzumab VH	77.69237
Dacetuzumab	Dacetuzumab VL	76.60717
Daclizumab	Daclizumab VH	92.69237
Daclizumab	Daclizumab VL	65.37977
Dalotuzumab	Dalotuzumab VH	71.75217
Dalotuzumab	Dalotuzumab VL	81.8756
Dapirolizumab	Dapirolizumab VH	63.38987
Dapirolizumab	Dapirolizumab VL	69.20567
Demcizumab	Demcizumab VH	67.31097
Demcizumab	Demcizumab VL	67.34237
Denintuzumab	Denintuzumab VH	69.04177
Denintuzumab	Denintuzumab VL	65.25327
Dezamizumab	Dezamizumab VH	67.70497
Dezamizumab	Dezamizumab VL	71.40197
Domagrozumab	Domagrozumab VH	88.84627
Domagrozumab	Domagrozumab VL	74.62627
Duligotuzumab	Duligotuzumab VH	74.83477
Duligotuzumab	Duligotuzumab VL	71.49537
Eculizumab	Eculizumab VH	63.19677
Eculizumab	Eculizumab VL	67.61687
Efalizumab	Efalizumab VH	65.04
Efalizumab	Efalizumab VL	74.43937
Elotuzumab	Elotuzumab VH	73.27737
Elotuzumab	Elotuzumab VL	70.84117
Emactuzumab	Emactuzumab VH	72.45697
Emactuzumab	Emactuzumab VL	91.66677
Emibetuzumab	Emibetuzumab VH	92.69237
Emibetuzumab	Emibetuzumab VL	66.38897
Emicizumab	Emicizumab VH	63.44547
Emicizumab	Emicizumab VL	69.57947
Enavatuzumab	Enavatuzumab VH	73.15137
Enavatuzumab	Enavatuzumab VL	69.68477
Enoblituzumab	Enoblituzumab VH	76.47547
Enoblituzumab	Enoblituzumab VL	68.83187
Enokizumab	Enokizumab VH	65.24597
Enokizumab	Enokizumab VL	66.68227
Epratuzumab	Epratuzumab VH	85.04
Epratuzumab	Epratuzumab VL	87.91677
Etaracizumab	Etaracizumab VH	75.25647
Etaracizumab	Etaracizumab VL	67.80377
Farletuzumab	Farletuzumab VH	74.9586
Farletuzumab	Farletuzumab VL	62.04557
Fibatuzumab	Fibatuzumab VH	70.76277
Fibatuzumab	Fibatuzumab VL	75.74777
Ficlatuzumab	Ficlatuzumab VH	70.63567
Ficlatuzumab	Ficlatuzumab VL	65.98137
Flotetuzumab	Flotetuzumab VH	66.54177
Flotetuzumab	Flotetuzumab VL	81.90277
Fontolizumab	Fontolizumab VH	64.44447
Fontolizumab	Fontolizumab VL	65.23367
Fremanezumab	Fremanezumab VH	68.27877
Fremanezumab	Fremanezumab VL	63.9726
Galcanezumab	Galcanezumab VH	63.02527
Galcanezumab	Galcanezumab VL	74.20567
Gatipotuzumab	Gatipotuzumab VH	92.69237
Gatipotuzumab	Gatipotuzumab VL	83.1256
Gemtuzumab	Gemtuzumab VH	92.30777
Gemtuzumab	Gemtuzumab VL	62.11717
Gevokizumab	Gevokizumab VH	70.20837
Gevokizumab	Gevokizumab VL	72.89727
Ibalizumab	Ibalizumab VH	67.17217
Ibalizumab	Ibalizumab VL	91.66677
Idarucizumab	Idarucizumab VH	61.14757
Idarucizumab	Idarucizumab VL	79.82147
Ifabotuzumab	Ifabotuzumab VH	70.76277
Ifabotuzumab	Ifabotuzumab VL	75.74777
Iladatuzumab	Iladatuzumab VH	66.23937
Iladatuzumab	Iladatuzumab VL	70.85597
Imgatuzumab	Imgatuzumab VH	71.04
Imgatuzumab	Imgatuzumab VL	83.755
Inebilizumab	Inebilizumab VH	63.7196
Inebilizumab	Inebilizumab VL	59.36947
Inotuzumab	Inotuzumab VH	64.17367
Inotuzumab	Inotuzumab VL	71.38397
Itolizumab	Itolizumab VH	76.80677
Itolizumab	Itolizumab VL	70.04
Ixekizumab	Ixekizumab VH	66.63877
Ixekizumab	Ixekizumab VL	78.03577
Labetuzumab	Labetuzumab VH	70.0426
Labetuzumab	Labetuzumab VL	85.41677
Lacnotuzumab	Lacnotuzumab VH	72.45767
Lacnotuzumab	Lacnotuzumab VL	65.56077
Ladiratuzumab	Ladiratuzumab VH	64.16677
Ladiratuzumab	Ladiratuzumab VL	77.63397
Lambrolizumab	Lambrolizumab VH	64.08337
Lambrolizumab	Lambrolizumab VL	69.9556
Lampalizumab	Lampalizumab VH	77.69237
Lampalizumab	Lampalizumab VL	61.12157
Landogrozumab	Landogrozumab VH	100.05
Landogrozumab	Landogrozumab VL	65.60197
Lebrikizumab	Lebrikizumab VH	62.92377
Lebrikizumab	Lebrikizumab VL	70.45057
Lifastuzumab	Lifastuzumab VH	70.6256
Lifastuzumab	Lifastuzumab VL	76.38397
Ligelizumab	Ligelizumab VH	62.72367
Ligelizumab	Ligelizumab VL	67.38327
Lintuzumab	Lintuzumab VH	92.69237
Lintuzumab	Lintuzumab VL	65.9916
Lorvotuzumab	Lorvotuzumab VH	79.87297
Lorvotuzumab	Lorvotuzumab VL	80.58047
Lumretuzumab	Lumretuzumab VH	60.755
Lumretuzumab	Lumretuzumab VL	81.81427
Lutikizumab	Lutikizumab VH	73.52947
Lutikizumab	Lutikizumab VL	70.65427
Matuzumab	Matuzumab VH	69.13227
Matuzumab	Matuzumab VL	67.72157
Mepolizumab	Mepolizumab VH	62.85717
Mepolizumab	Mepolizumab VL	80.26557
Milatuzumab	Milatuzumab VH	68.54177
Milatuzumab	Milatuzumab VL	79.06257
Mirikizumab	Mirikizumab VH	86.92317
Mirikizumab	Mirikizumab VL	73.9726
Mogamulizumab	Mogamulizumab VH	73.78157
Mogamulizumab	Mogamulizumab VL	77.00897
Monalizumab	Monalizumab VH	65.325
Monalizumab	Monalizumab VL	75.37387
Mosunetuzumab	Mosunetuzumab VH	68.48747
Mosunetuzumab	Mosunetuzumab VL	91.66677
Motavizumab	Motavizumab VH	68.58337
Motavizumab	Motavizumab VL	63.67097
