id	description	germline_content
Abituzumab	Abituzumab VH	0.7372881355932204
Abituzumab	Abituzumab VL	0.8598130841121495
Afutuzumab	Afutuzumab VH	0.7983193277310925
Afutuzumab	Afutuzumab VL	0.8660714285714286
Alacizumab	Alacizumab VH	0.8717948717948718
Alacizumab	Alacizumab VL	0.822429906542056
Alemtuzumab	Alemtuzumab VH	0.7107438016528925
Alemtuzumab	Alemtuzumab VL	0.8598130841121495
Anrukinzumab	Anrukinzumab VH	0.847457627118644
Anrukinzumab	Anrukinzumab VL	0.8288288288288288
Atezolizumab	Atezolizumab VH	0.8389830508474576
Atezolizumab	Atezolizumab VL	0.8598130841121495
Bapineuzumab	Bapineuzumab VH	0.8403361344537815
Bapineuzumab	Bapineuzumab VL	0.8482142857142857
Bemarituzumab	Bemarituzumab VH	0.8070175438596491
Bemarituzumab	Bemarituzumab VL	0.8598130841121495
Benralizumab	Benralizumab VH	0.743801652892562
Benralizumab	Benralizumab VL	0.8691588785046729
Bevacizumab	Bevacizumab VH	0.7235772357723578
Bevacizumab	Bevacizumab VL	0.8878504672897196
Bimekizumab	Bimekizumab VH	0.792
Bimekizumab	Bimekizumab VL	0.8130841121495327
Blosozumab	Blosozumab VH	0.8135593220338984
Blosozumab	Blosozumab VL	0.8317757009345794
Bococizumab	Bococizumab VH	0.8559322033898306
Bococizumab	Bococizumab VL	0.8691588785046729
Brolucizumab	Brolucizumab VH	0.75
Brolucizumab	Brolucizumab VL	0.7727272727272727
Brontictuzumab	Brontictuzumab VH	0.768595041322314
Brontictuzumab	Brontictuzumab VL	0.8348623853211009
Cabiralizumab	Cabiralizumab VH	0.7786885245901639
Cabiralizumab	Cabiralizumab VL	0.8108108108108109
Camrelizumab	Camrelizumab VH	0.8879310344827587
Camrelizumab	Camrelizumab VL	0.8691588785046729
Cantuzumab	Cantuzumab VH	0.7394957983193278
Cantuzumab	Cantuzumab VL	0.8035714285714286
Cergutuzumab	Cergutuzumab VH	0.768595041322314
Cergutuzumab	Cergutuzumab VL	0.8148148148148148
Certolizumab	Certolizumab VH	0.7542372881355932
Certolizumab	Certolizumab VL	0.8411214953271028
Citatuzumab	Citatuzumab VH	0.7413793103448276
Citatuzumab	Citatuzumab VL	0.7767857142857143
Clazakizumab	Clazakizumab VH	0.775
Clazakizumab	Clazakizumab VL	0.8363636363636363
Clivatuzumab	Clivatuzumab VH	0.7647058823529411
Clivatuzumab	Clivatuzumab VL	0.7777777777777778
Codrituzumab	Codrituzumab VH	0.808695652173913
Codrituzumab	Codrituzumab VL	0.8571428571428571
Cofetuzumab	Cofetuzumab VH	0.773109243697479
Cofetuzumab	Cofetuzumab VL	0.8198198198198198
Concizumab	Concizumab VH	0.8016528925619835
Concizumab	Concizumab VL	0.8928571428571429
Crenezumab	Crenezumab VH	0.8839285714285714
Crenezumab	Crenezumab VL	0.875
Crizanlizumab	Crizanlizumab VH	0.7622950819672131
Crizanlizumab	Crizanlizumab VL	0.8738738738738738
Cusatuzumab	Cusatuzumab VH	0.8442622950819673
Cusatuzumab	Cusatuzumab VL	0.7727272727272727
Dacetuzumab	Dacetuzumab VH	0.7543859649122807
Dacetuzumab	Dacetuzumab VL	0.7946428571428571
Daclizumab	Daclizumab VH	0.8189655172413793
Daclizumab	Daclizumab VL	0.8301886792452831
Dalotuzumab	Dalotuzumab VH	0.8547008547008547
Dalotuzumab	Dalotuzumab VL	0.8660714285714286
Dapirolizumab	Dapirolizumab VH	0.7203389830508474
Dapirolizumab	Dapirolizumab VL	0.8317757009345794
Demcizumab	Demcizumab VH	0.8151260504201681
Demcizumab	Demcizumab VL	0.7837837837837838
Denintuzumab	Denintuzumab VH	0.825
Denintuzumab	Denintuzumab VL	0.8584905660377359
Dezamizumab	Dezamizumab VH	0.8032786885245902
Dezamizumab	Dezamizumab VL	0.8504672897196262
Domagrozumab	Domagrozumab VH	0.9051724137931034
