id	description	t20
Abituzumab	Abituzumab VH	83.30517
Abituzumab	Abituzumab VL	87.14957
Afutuzumab	Afutuzumab VH	81.63877
Afutuzumab	Afutuzumab VL	89.01797
Alacizumab	Alacizumab VH	87.64967
Alacizumab	Alacizumab VL	86.54217
Alemtuzumab	Alemtuzumab VH	81.19837
Alemtuzumab	Alemtuzumab VL	86.40197
Anrukinzumab	Anrukinzumab VH	87.20347
Anrukinzumab	Anrukinzumab VL	69.36947
Atezolizumab	Atezolizumab VH	87.41537
Atezolizumab	Atezolizumab VL	90.60757
Bapineuzumab	Bapineuzumab VH	86.00847
Bapineuzumab	Bapineuzumab VL	85.26797
Bemarituzumab	Bemarituzumab VH	100.05
Bemarituzumab	Bemarituzumab VL	86.26177
Benralizumab	Benralizumab VH	83.18187
Benralizumab	Benralizumab VL	87.42997
Bevacizumab	Bevacizumab VH	82.80497
Bevacizumab	Bevacizumab VL	89.15897
Blosozumab	Blosozumab VH	78.47467
Blosozumab	Blosozumab VL	85.5146
Bococizumab	Bococizumab VH	86.52547
Bococizumab	Bococizumab VL	87.00937
Brontictuzumab	Brontictuzumab VH	83.88437
Brontictuzumab	Brontictuzumab VL	82.055
Cabiralizumab	Cabiralizumab VH	83.64757
Cabiralizumab	Cabiralizumab VL	71.17127
Camrelizumab	Camrelizumab VH	100.05
Camrelizumab	Camrelizumab VL	87.10287
Cantuzumab	Cantuzumab VH	86.05047
Cantuzumab	Cantuzumab VL	87.14297
Cergutuzumab	Cergutuzumab VH	81.98357
Cergutuzumab	Cergutuzumab VL	82.17597
Certolizumab	Certolizumab VH	84.15257
Certolizumab	Certolizumab VL	88.45797
Citatuzumab	Citatuzumab VH	100.05
Citatuzumab	Citatuzumab VL	89.41967
Clivatuzumab	Clivatuzumab VH	83.99167
Clivatuzumab	Clivatuzumab VL	83.70377
Codrituzumab	Codrituzumab VH	95.04
Codrituzumab	Codrituzumab VL	91.255
Cofetuzumab	Cofetuzumab VH	81.97487
Cofetuzumab	Cofetuzumab VL	70.67577
Concizumab	Concizumab VH	82.52077
Concizumab	Concizumab VL	84.64297
Crenezumab	Crenezumab VH	100.05
Crenezumab	Crenezumab VL	91.02687
Crizanlizumab	Crizanlizumab VH	81.63937
Crizanlizumab	Crizanlizumab VL	72.38747
Dacetuzumab	Dacetuzumab VH	92.30777
Dacetuzumab	Dacetuzumab VL	86.29467
Daclizumab	Daclizumab VH	100.05
Daclizumab	Daclizumab VL	71.26587
Dalotuzumab	Dalotuzumab VH	87.47867
Dalotuzumab	Dalotuzumab VL	90.08937
Dapirolizumab	Dapirolizumab VH	82.11867
Dapirolizumab	Dapirolizumab VL	82.10287
Demcizumab	Demcizumab VH	83.82357
Demcizumab	Demcizumab VL	69.14417
Denintuzumab	Denintuzumab VH	89.255
Denintuzumab	Denintuzumab VL	82.21527
Dezamizumab	Dezamizumab VH	82.00827
Dezamizumab	Dezamizumab VL	86.40197
Domagrozumab	Domagrozumab VH	100.05
Domagrozumab	Domagrozumab VL	88.50477
Duligotuzumab	Duligotuzumab VH	83.5956
Duligotuzumab	Duligotuzumab VL	88.87857
Eculizumab	Eculizumab VH	79.05747
Eculizumab	Eculizumab VL	83.92527
Efalizumab	Efalizumab VH	82.3146
Efalizumab	Efalizumab VL	88.17767
Elotuzumab	Elotuzumab VH	83.10927
Elotuzumab	Elotuzumab VL	84.90657
Emactuzumab	Emactuzumab VH	88.87937
Emactuzumab	Emactuzumab VL	97.91677
Emibetuzumab	Emibetuzumab VH	100.05
Emibetuzumab	Emibetuzumab VL	86.66677
Emicizumab	Emicizumab VH	81.84877
Emicizumab	Emicizumab VL	85.18697
Enavatuzumab	Enavatuzumab VH	84.49587
Enavatuzumab	Enavatuzumab VL	72.11717
Enoblituzumab	Enoblituzumab VH	85.86077
Enoblituzumab	Enoblituzumab VL	87.05617
Enokizumab	Enokizumab VH	82.86897
Enokizumab	Enokizumab VL	85.32717
Epratuzumab	Epratuzumab VH	96.53857
Epratuzumab	Epratuzumab VL	100.05
Etaracizumab	Etaracizumab VH	87.39327
Etaracizumab	Etaracizumab VL	69.29917
Farletuzumab	Farletuzumab VH	84.9166
Farletuzumab	Farletuzumab VL	66.68187
Fibatuzumab	Fibatuzumab VH	87.37297
Fibatuzumab	Fibatuzumab VL	91.82247
Ficlatuzumab	Ficlatuzumab VH	88.77127
Ficlatuzumab	Ficlatuzumab VL	82.94397
Flotetuzumab	Flotetuzumab VH	84.79177
Flotetuzumab	Flotetuzumab VL	91.37177
Fontolizumab	Fontolizumab VH	82.47867
Fontolizumab	Fontolizumab VL	82.57017
Fremanezumab	Fremanezumab VH	82.90987
Fremanezumab	Fremanezumab VL	82.2436
Galcanezumab	Galcanezumab VH	83.40347
Galcanezumab	Galcanezumab VL	87.28977
Gatipotuzumab	Gatipotuzumab VH	100.05
Gatipotuzumab	Gatipotuzumab VL	88.79467
Gemtuzumab	Gemtuzumab VH	100.05
Gemtuzumab	Gemtuzumab VL	67.56767
Gevokizumab	Gevokizumab VH	86.8756
Gevokizumab	Gevokizumab VL	85.56077
Ibalizumab	Ibalizumab VH	82.17217
Ibalizumab	Ibalizumab VL	100.05
Idarucizumab	Idarucizumab VH	82.6236
Idarucizumab	Idarucizumab VL	85.89297
Ifabotuzumab	Ifabotuzumab VH	87.37297
Ifabotuzumab	Ifabotuzumab VL	91.82247
Iladatuzumab	Iladatuzumab VH	84.65817
Iladatuzumab	Iladatuzumab VL	72.34237
Imgatuzumab	Imgatuzumab VH	86.04177
Imgatuzumab	Imgatuzumab VL	97.91677
Inebilizumab	Inebilizumab VH	81.19837
Inebilizumab	Inebilizumab VL	68.24327
Inotuzumab	Inotuzumab VH	82.39677
Inotuzumab	Inotuzumab VL	84.19647
Itolizumab	Itolizumab VH	85.54627
Itolizumab	Itolizumab VL	84.67297
Ixekizumab	Ixekizumab VH	84.45387
Ixekizumab	Ixekizumab VL	89.73217
Labetuzumab	Labetuzumab VH	81.89087
Labetuzumab	Labetuzumab VL	92.54
Lacnotuzumab	Lacnotuzumab VH	89.40687
Lacnotuzumab	Lacnotuzumab VL	66.16827
Ladiratuzumab	Ladiratuzumab VH	77.58337
Ladiratuzumab	Ladiratuzumab VL	86.07147
Lambrolizumab	Lambrolizumab VH	84.79177
Lambrolizumab	Lambrolizumab VL	70.36047
Lampalizumab	Lampalizumab VH	85.38467
Lampalizumab	Lampalizumab VL	58.22437
Landogrozumab	Landogrozumab VH	100.05
Landogrozumab	Landogrozumab VL	85.92597
Lebrikizumab	Lebrikizumab VH	83.38987
Lebrikizumab	Lebrikizumab VL	69.68477
Lifastuzumab	Lifastuzumab VH	83.41677
Lifastuzumab	Lifastuzumab VL	84.33047
Ligelizumab	Ligelizumab VH	79.75617
Ligelizumab	Ligelizumab VL	69.67297
Lintuzumab	Lintuzumab VH	100.05
Lintuzumab	Lintuzumab VL	69.50457
Lorvotuzumab	Lorvotuzumab VH	88.13567
Lorvotuzumab	Lorvotuzumab VL	89.73217
Lumretuzumab	Lumretuzumab VH	79.6936
Lumretuzumab	Lumretuzumab VL	92.21247
Lutikizumab	Lutikizumab VH	86.72277
Lutikizumab	Lutikizumab VL	84.81317
Matuzumab	Matuzumab VH	84.25627
Matuzumab	Matuzumab VL	82.97477
Mepolizumab	Mepolizumab VH	84.20177
Mepolizumab	Mepolizumab VL	89.91157
Milatuzumab	Milatuzumab VH	82.16677
Milatuzumab	Milatuzumab VL	86.69647
Mirikizumab	Mirikizumab VH	94.23087
Mirikizumab	Mirikizumab VL	83.55147
Mogamulizumab	Mogamulizumab VH	83.78157
Mogamulizumab	Mogamulizumab VL	86.56257
Monalizumab	Monalizumab VH	81.445
Monalizumab	Monalizumab VL	87.14957
Mosunetuzumab	Mosunetuzumab VH	86.59667
Mosunetuzumab	Mosunetuzumab VL	100.05
Motavizumab	Motavizumab VH	82.41677
Motavizumab	Motavizumab VL	72.02537
Natalizumab	Natalizumab VH	81.82937
Natalizumab	Natalizumab VL	100.05
Nemolizumab	Nemolizumab VH	82.4386
Nemolizumab	Nemolizumab VL	82.94397
Nimotuzumab	Nimotuzumab VH	81.78867
Nimotuzumab	Nimotuzumab VL	88.92867
Obinutuzumab	Obinutuzumab VH	81.63877
Obinutuzumab	Obinutuzumab VL	89.01797
Ocaratuzumab	Ocaratuzumab VH	82.6866
Ocaratuzumab	Ocaratuzumab VL	79.05067
Ocrelizumab	Ocrelizumab VH	84.09847
Ocrelizumab	Ocrelizumab VL	82.91147
Olendalizumab	Olendalizumab VH	84.91677
Olendalizumab	Olendalizumab VL	70.9916
Omalizumab	Omalizumab VH	82.93397
Omalizumab	Omalizumab VL	73.0186
Onartuzumab	Onartuzumab VH	82.05887
Onartuzumab	Onartuzumab VL	93.31867
Oportuzumab	Oportuzumab VH	100.05
Oportuzumab	Oportuzumab VL	89.41967
Otlertuzumab	Otlertuzumab VH	100.05
Otlertuzumab	Otlertuzumab VL	83.7856
Ozanezumab	Ozanezumab VH	100.05
Ozanezumab	Ozanezumab VL	85.40187
Palivizumab	Palivizumab VH	83.54177
Palivizumab	Palivizumab VL	70.06337
Parsatuzumab	Parsatuzumab VH	77.64967
Parsatuzumab	Parsatuzumab VL	80.49117
Pateclizumab	Pateclizumab VH	84.49157
Pateclizumab	Pateclizumab VL	89.62627
Pembrolizumab	Pembrolizumab VH	84.79177
Pembrolizumab	Pembrolizumab VL	70.36047
Perakizumab	Perakizumab VH	83.89347
Perakizumab	Perakizumab VL	84.12047
Pertuzumab	Pertuzumab VH	86.05047
Pertuzumab	Pertuzumab VL	87.47667
Pidilizumab	Pidilizumab VH	85.08557
Pidilizumab	Pidilizumab VL	85.06337
Pinatuzumab	Pinatuzumab VH	81.16677
Pinatuzumab	Pinatuzumab VL	89.10717
Pogalizumab	Pogalizumab VH	75.47017
Pogalizumab	Pogalizumab VL	89.29917
Polatuzumab	Polatuzumab VH	84.65817
Polatuzumab	Polatuzumab VL	72.34237
Prasinezumab	Prasinezumab VH	100.05
Prasinezumab	Prasinezumab VL	92.16817
Quilizumab	Quilizumab VH	84.65817
Quilizumab	Quilizumab VL	89.19647
Ralpancizumab	Ralpancizumab VH	87.24587
Ralpancizumab	Ralpancizumab VL	85.65427
Ranibizumab	Ranibizumab VH	82.76427
Ranibizumab	Ranibizumab VL	89.15897
Ravulizumab	Ravulizumab VH	79.30337
Ravulizumab	Ravulizumab VL	83.92527
Refanezumab	Refanezumab VH	83.17467
Refanezumab	Refanezumab VL	95.04
Reslizumab	Reslizumab VH	85.64667
Reslizumab	Reslizumab VL	87.71037
Risankizumab	Risankizumab VH	74.3756
Risankizumab	Risankizumab VL	82.38327
Rivabazumab	Rivabazumab VH	87.29847
Rivabazumab	Rivabazumab VL	86.68227
Romosozumab	Romosozumab VH	84.22767
Romosozumab	Romosozumab VL	90.37387
Rontalizumab	Rontalizumab VH	85.29917
Rontalizumab	Rontalizumab VL	71.26137
Rosmantuzumab	Rosmantuzumab VH	84.74367
Rosmantuzumab	Rosmantuzumab VL	72.25237
Rovalpituzumab	Rovalpituzumab VH	86.61027
Rovalpituzumab	Rovalpituzumab VL	84.81317
Ruplizumab	Ruplizumab VH	85.21197
Ruplizumab	Ruplizumab VL	70.9916
Sacituzumab	Sacituzumab VH	84.42157
Sacituzumab	Sacituzumab VL	87.42997
Samalizumab	Samalizumab VH	81.36757
Samalizumab	Samalizumab VL	84.01877
Sapelizumab	Sapelizumab VH	85.88247
Sapelizumab	Sapelizumab VL	86.16827
Satralizumab	Satralizumab VH	85.88247
Satralizumab	Satralizumab VL	86.16827
Simtuzumab	Simtuzumab VH	100.05
Simtuzumab	Simtuzumab VL	88.92867
Sofituzumab	Sofituzumab VH	100.05
Sofituzumab	Sofituzumab VL	83.83187
Solanezumab	Solanezumab VH	100.05
Solanezumab	Solanezumab VL	91.11617
Spartalizumab	Spartalizumab VH	83.5476
Spartalizumab	Spartalizumab VL	90.5316
Suvizumab	Suvizumab VH	83.13567
Suvizumab	Suvizumab VL	89.33637
Tadocizumab	Tadocizumab VH	84.78997
Tadocizumab	Tadocizumab VL	87.42997
Talacotuzumab	Talacotuzumab VH	84.79177
Talacotuzumab	Talacotuzumab VL	90.48677
Tanezumab	Tanezumab VH	80.66127
Tanezumab	Tanezumab VL	84.71967
Telisotuzumab	Telisotuzumab VH	89.11027
Telisotuzumab	Telisotuzumab VL	75.27037
Teplizumab	Teplizumab VH	85.58827
Teplizumab	Teplizumab VL	85.63297
Tibulizumab	Tibulizumab VH	90.28467
Tibulizumab	Tibulizumab VL	96.7296
Tigatuzumab	Tigatuzumab VH	85.50427
Tigatuzumab	Tigatuzumab VL	100.05
Tildrakizumab	Tildrakizumab VH	100.05
Tildrakizumab	Tildrakizumab VL	85.32717
Timigutuzumab	Timigutuzumab VH	81.66677
Timigutuzumab	Timigutuzumab VL	91.30847
Tislelizumab	Tislelizumab VH	88.30517
Tislelizumab	Tislelizumab VL	87.42997
Tocilizumab	Tocilizumab VH	88.69757
Tocilizumab	Tocilizumab VL	90.32717
Trastuzumab	Trastuzumab VH	81.66677
Trastuzumab	Trastuzumab VL	91.30847
Tregalizumab	Tregalizumab VH	77.82267
Tregalizumab	Tregalizumab VL	70.18027
Vandortuzumab	Vandortuzumab VH	87.01617
Vandortuzumab	Vandortuzumab VL	93.89387
Vatelizumab	Vatelizumab VH	84.03367
Vatelizumab	Vatelizumab VL	75.04
Vedolizumab	Vedolizumab VH	84.95877
Vedolizumab	Vedolizumab VL	84.86617
Veltuzumab	Veltuzumab VH	84.95877
Veltuzumab	Veltuzumab VL	85.69627
Visilizumab	Visilizumab VH	83.8756
Visilizumab	Visilizumab VL	85.63297
Vonlerolizumab	Vonlerolizumab VH	75.47017
Vonlerolizumab	Vonlerolizumab VL	89.29917
Vorsetuzumab	Vorsetuzumab VH	87.20347
Vorsetuzumab	Vorsetuzumab VL	69.45957
Vunakizumab	Vunakizumab VH	81.54477
Vunakizumab	Vunakizumab VL	74.17727
Zenocutuzumab	Zenocutuzumab VH	90.68557
Zenocutuzumab	Zenocutuzumab VL	98.73837
