id	description	germline_content
3F8	3F8 VH	0.6050420168067226
3F8	3F8 VL	0.6634615384615384
moAb_81C6	moAb_81C6 VH	0.6694915254237288
moAb_81C6	moAb_81C6 VL	0.7927927927927928
Pexelizumab	Pexelizumab VH	0.8
Pexelizumab	Pexelizumab VL	0.8113207547169812
Arcitumomab	Arcitumomab VH	0.7768595041322314
Arcitumomab	Arcitumomab VL	0.6415094339622641
Blinatumomab	Blinatumomab VH	0.6774193548387096
Blinatumomab	Blinatumomab VL	0.6936936936936937
Ibritumomab	Ibritumomab VH	0.6639344262295082
Ibritumomab	Ibritumomab VL	0.660377358490566
MuromonabCD3	MuromonabCD3 VH	0.6890756302521008
MuromonabCD3	MuromonabCD3 VL	0.6226415094339622
Satumomab	Satumomab VH	0.631578947368421
Satumomab	Satumomab VL	0.7009345794392523
Tositumomab	Tositumomab VH	0.6639344262295082
Tositumomab	Tositumomab VL	0.660377358490566
Abciximab	Abciximab VH	0.6302521008403361
Abciximab	Abciximab VL	0.6822429906542056
Basiliximab	Basiliximab VH	0.6581196581196581
Basiliximab	Basiliximab VL	0.6730769230769231
Bavituximab	Bavituximab VH	0.625
Bavituximab	Bavituximab VL	0.6915887850467289
Cetuximab	Cetuximab VH	0.5630252100840336
Cetuximab	Cetuximab VL	0.6728971962616822
Rituximab	Rituximab VH	0.6776859504132231
Rituximab	Rituximab VL	0.6509433962264151
Siltuximab	Siltuximab VH	0.7310924369747899
Siltuximab	Siltuximab VL	0.6886792452830188
Alemtuzumab	Alemtuzumab VH	0.7107438016528925
Alemtuzumab	Alemtuzumab VL	0.8598130841121495
Atezolizumab	Atezolizumab VH	0.8389830508474576
Atezolizumab	Atezolizumab VL	0.8598130841121495
Bevacizumab	Bevacizumab VH	0.7235772357723578
Bevacizumab	Bevacizumab VL	0.8878504672897196
Certolizumab	Certolizumab VH	0.7542372881355932
Certolizumab	Certolizumab VL	0.8411214953271028
Daclizumab	Daclizumab VH	0.8189655172413793
Daclizumab	Daclizumab VL	0.8301886792452831
Elotuzumab	Elotuzumab VH	0.8151260504201681
Elotuzumab	Elotuzumab VL	0.8411214953271028
Farletuzumab	Farletuzumab VH	0.7815126050420168
Farletuzumab	Farletuzumab VL	0.7909090909090909
Gemtuzumab	Gemtuzumab VH	0.7068965517241379
Gemtuzumab	Gemtuzumab VL	0.7837837837837838
Idarucizumab	Idarucizumab VH	0.7540983606557377
Idarucizumab	Idarucizumab VL	0.875
Ixekizumab	Ixekizumab VH	0.7983193277310925
Ixekizumab	Ixekizumab VL	0.875
Matuzumab	Matuzumab VH	0.7851239669421488
Matuzumab	Matuzumab VL	0.839622641509434
Omalizumab	Omalizumab VH	0.7272727272727273
Omalizumab	Omalizumab VL	0.8648648648648649
Oportuzumab	Oportuzumab VH	0.7413793103448276
Oportuzumab	Oportuzumab VL	0.7767857142857143
Pembrolizumab	Pembrolizumab VH	0.7583333333333333
Pembrolizumab	Pembrolizumab VL	0.8198198198198198
Pertuzumab	Pertuzumab VH	0.7647058823529411
Pertuzumab	Pertuzumab VL	0.8411214953271028
Ranibizumab	Ranibizumab VH	0.7154471544715447
Ranibizumab	Ranibizumab VL	0.8785046728971962
Trastuzumab	Trastuzumab VH	0.775
Trastuzumab	Trastuzumab VL	0.8504672897196262
Vedolizumab	Vedolizumab VH	0.7933884297520661
Vedolizumab	Vedolizumab VL	0.8482142857142857
Adalimumab	Adalimumab VH	0.8677685950413223
Adalimumab	Adalimumab VL	0.9345794392523364
Denosumab	Denosumab VH	0.9098360655737705
Denosumab	Denosumab VL	0.9351851851851852
Durvalumab	Durvalumab VH	0.9173553719008265
Durvalumab	Durvalumab VL	0.9629629629629629
Ipilimumab	Ipilimumab VH	0.9067796610169492
Ipilimumab	Ipilimumab VL	0.9629629629629629
Necitumumab	Necitumumab VH	0.9008264462809917
Necitumumab	Necitumumab VL	0.9252336448598131
Nivolumab	Nivolumab VH	0.9026548672566371
Nivolumab	Nivolumab VL	0.9626168224299065
Ofatumumab	Ofatumumab VH	0.9344262295081968
Ofatumumab	Ofatumumab VL	0.9813084112149533
Olaratumab	Olaratumab VH	0.8110236220472441
Olaratumab	Olaratumab VL	0.9626168224299065
Ramucirumab	Ramucirumab VH	0.9655172413793104
Ramucirumab	Ramucirumab VL	0.8317757009345794
Secukinumab	Secukinumab VH	0.8503937007874016
Secukinumab	Secukinumab VL	0.9722222222222222
Zalutumumab	Zalutumumab VH	0.872
Zalutumumab	Zalutumumab VL	0.9532710280373832
Moxetumomab	Moxetumomab VH	0.7317073170731707
Moxetumomab	Moxetumomab VL	0.7452830188679245
Abagovomab	Abagovomab VH	0.6470588235294118
Abagovomab	Abagovomab VL	0.6915887850467289
Begelomab	Begelomab VH	0.6666666666666666
Begelomab	Begelomab VL	0.6698113207547169
PankoMab	PankoMab VH	0.8547008547008547
PankoMab	PankoMab VL	0.8571428571428571
Infliximab	Infliximab VH	0.6916666666666667
Infliximab	Infliximab VL	0.6635514018691588
Eculizumab	Eculizumab VH	0.7868852459016393
Eculizumab	Eculizumab VL	0.8317757009345794
Natalizumab	Natalizumab VH	0.7723577235772358
Natalizumab	Natalizumab VL	0.8113207547169812
Golimumab	Golimumab VH	0.8888888888888888
Golimumab	Golimumab VL	0.9629629629629629
Ustekinumab	Ustekinumab VH	0.8403361344537815
Ustekinumab	Ustekinumab VL	0.9719626168224299
Tocilizumab	Tocilizumab VH	0.7983193277310925
Tocilizumab	Tocilizumab VL	0.8785046728971962
Avelumab	Avelumab VH	0.85
Avelumab	Avelumab VL	0.9636363636363636
Canakinumab	Canakinumab VH	0.8983050847457628
Canakinumab	Canakinumab VL	0.9719626168224299
Panitumumab	Panitumumab VH	0.8739495798319328
Panitumumab	Panitumumab VL	0.9345794392523364
Brentuximab	Brentuximab VH	0.6837606837606838
Brentuximab	Brentuximab VL	0.7297297297297297
Daratumumab	Daratumumab VH	0.8770491803278688
Daratumumab	Daratumumab VL	0.9719626168224299
Obinutuzumab	Obinutuzumab VH	0.7983193277310925
Obinutuzumab	Obinutuzumab VL	0.8660714285714286
Dinutuximab	Dinutuximab VH	0.6460176991150443
Dinutuximab	Dinutuximab VL	0.7433628318584071
Polatuzumab	Polatuzumab VH	0.7521367521367521
Polatuzumab	Polatuzumab VL	0.8558558558558559
Concizumab	Concizumab VH	0.8016528925619835
Concizumab	Concizumab VL	0.8928571428571429
Gevokizumab	Gevokizumab VH	0.725
