id	description	t20
AntiCD28	AntiCD28 VH	77.91677
AntiCD28	AntiCD28 VL	67.14297
Bevacizumab	Bevacizumab VH	81.99197
Bevacizumab	Bevacizumab VL	87.2436
Campath	Campath VH	79.21497
Campath	Campath VL	86.40197
Certolizumab	Certolizumab VH	82.45767
Certolizumab	Certolizumab VL	87.57017
Clazakizumab	Clazakizumab VH	74.20837
Clazakizumab	Clazakizumab VL	84.04
Crizanlizumab	Crizanlizumab VH	78.31977
Crizanlizumab	Crizanlizumab VL	72.43247
Eculizumab	Eculizumab VH	73.15577
Eculizumab	Eculizumab VL	82.14957
Etaracizumab	Etaracizumab VH	85.98297
Etaracizumab	Etaracizumab VL	68.55147
Herceptin	Herceptin VH	75.16677
Herceptin	Herceptin VL	87.61687
Idarucizumab	Idarucizumab VH	75.90167
Idarucizumab	Idarucizumab VL	82.09827
Ixekizumab	Ixekizumab VH	74.41187
Ixekizumab	Ixekizumab VL	88.61617
Ligelizumab	Ligelizumab VH	75.32527
Ligelizumab	Ligelizumab VL	67.10287
Lorvotuzumab	Lorvotuzumab VH	85.50857
Lorvotuzumab	Lorvotuzumab VL	88.21437
Mogamulizumab	Mogamulizumab VH	81.17657
Mogamulizumab	Mogamulizumab VL	83.66077
Omalizumab	Omalizumab VH	80.33067
Omalizumab	Omalizumab VL	72.83787
Palivizumab	Palivizumab VH	83.54177
Palivizumab	Palivizumab VL	76.32917
Pembrolizumab	Pembrolizumab VH	78.1256
Pembrolizumab	Pembrolizumab VL	69.50457
Pertuzumab	Pertuzumab VH	76.17657
Pertuzumab	Pertuzumab VL	86.58887
Pinatuzumab	Pinatuzumab VH	75.66677
Pinatuzumab	Pinatuzumab VL	85.89297
Refanezumab	Refanezumab VH	83.13497
Refanezumab	Refanezumab VL	95.04
Reslizumab	Reslizumab VH	79.65527
Reslizumab	Reslizumab VL	87.61687
Rovalpituzumab	Rovalpituzumab VH	85.80517
Rovalpituzumab	Rovalpituzumab VL	85.09357
Solanezumab	Solanezumab VH	100.05
Solanezumab	Solanezumab VL	90.22327
Talacotuzumab	Talacotuzumab VH	79.1256
Talacotuzumab	Talacotuzumab VL	90.57527
Tocilizumab	Tocilizumab VH	84.20177
Tocilizumab	Tocilizumab VL	89.29917
