Name	Immunogenicity	Species	Reference
3F8	100.0	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
moAb_81C6	100.0	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Arcitumomab	0.5	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Blinatumomab	1.4	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Ibritumomab	1.9	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
MuromonabCD3	56.0	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Satumomab	55.0	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Tositumomab	45.5	Mouse	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Abciximab	35.5	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Basiliximab	1.5	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Bavituximab	58.0	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Cetuximab	5.0	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Rituximab	11.0	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Siltuximab	0.2	Chimeric	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Alemtuzumab	5.1	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Atezolizumab	28.9	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Bevacizumab	0.3	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Certolizumab	8.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Daclizumab	19.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Elotuzumab	18.5	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Farletuzumab	8.7	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Gemtuzumab	0.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Idarucizumab	4.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Ixekizumab	8.5	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Matuzumab	10.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Omalizumab	0.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Oportuzumab	40.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Pembrolizumab	1.7	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Pertuzumab	2.8	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Pexelizumab	0.0	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Ranibizumab	3.5	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Trastuzumab	8.1	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Vedolizumab	9.5	Humanized	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
Adalimumab	14.0	Human	https://www.nature.com/articles/s41598-018-32986-y#ref-CR1
