id	description	t20
Abituzumab	Abituzumab VH	78.98317
Abituzumab	Abituzumab VL	86.2156
Afutuzumab	Afutuzumab VH	76.84877
Afutuzumab	Afutuzumab VL	89.01797
Alacizumab	Alacizumab VH	87.64967
Alacizumab	Alacizumab VL	83.69167
Alemtuzumab	Alemtuzumab VH	79.79347
Alemtuzumab	Alemtuzumab VL	84.57947
Anrukinzumab	Anrukinzumab VH	86.61027
Anrukinzumab	Anrukinzumab VL	68.24327
Atezolizumab	Atezolizumab VH	84.83057
Atezolizumab	Atezolizumab VL	90.60757
Bapineuzumab	Bapineuzumab VH	83.02527
Bapineuzumab	Bapineuzumab VL	83.92867
Bemarituzumab	Bemarituzumab VH	100.05
Bemarituzumab	Bemarituzumab VL	86.26177
Benralizumab	Benralizumab VH	78.42987
Benralizumab	Benralizumab VL	86.49537
Bevacizumab	Bevacizumab VH	82.03257
Bevacizumab	Bevacizumab VL	88.22437
Blosozumab	Blosozumab VH	73.77127
Blosozumab	Blosozumab VL	85.5146
Bococizumab	Bococizumab VH	82.28817
Bococizumab	Bococizumab VL	87.00937
Brontictuzumab	Brontictuzumab VH	80.53727
Brontictuzumab	Brontictuzumab VL	79.555
Cabiralizumab	Cabiralizumab VH	79.71317
Cabiralizumab	Cabiralizumab VL	71.17127
Camrelizumab	Camrelizumab VH	100.05
Camrelizumab	Camrelizumab VL	87.10287
Cantuzumab	Cantuzumab VH	85.21017
Cantuzumab	Cantuzumab VL	86.255
Cergutuzumab	Cergutuzumab VH	80.28937
Cergutuzumab	Cergutuzumab VL	80.37047
Certolizumab	Certolizumab VH	83.22037
Certolizumab	Certolizumab VL	87.57017
Citatuzumab	Citatuzumab VH	100.05
Citatuzumab	Citatuzumab VL	89.24117
Clivatuzumab	Clivatuzumab VH	79.66397
Clivatuzumab	Clivatuzumab VL	81.62047
Codrituzumab	Codrituzumab VH	95.04
Codrituzumab	Codrituzumab VL	89.33047
Cofetuzumab	Cofetuzumab VH	77.10087
Cofetuzumab	Cofetuzumab VL	69.77487
Concizumab	Concizumab VH	81.90087
Concizumab	Concizumab VL	83.43757
Crenezumab	Crenezumab VH	100.05
Crenezumab	Crenezumab VL	88.88397
Crizanlizumab	Crizanlizumab VH	77.99187
Crizanlizumab	Crizanlizumab VL	73.42347
Dacetuzumab	Dacetuzumab VH	92.30777
Dacetuzumab	Dacetuzumab VL	86.29467
Daclizumab	Daclizumab VH	100.05
Daclizumab	Daclizumab VL	69.17727
Dalotuzumab	Dalotuzumab VH	83.97447
Dalotuzumab	Dalotuzumab VL	88.48217
Dapirolizumab	Dapirolizumab VH	76.65257
Dapirolizumab	Dapirolizumab VL	81.7296
Demcizumab	Demcizumab VH	79.53787
Demcizumab	Demcizumab VL	68.19827
Denintuzumab	Denintuzumab VH	88.83337
Denintuzumab	Denintuzumab VL	78.4816
Dezamizumab	Dezamizumab VH	78.36077
Dezamizumab	Dezamizumab VL	84.53277
Domagrozumab	Domagrozumab VH	100.05
Domagrozumab	Domagrozumab VL	88.50477
Duligotuzumab	Duligotuzumab VH	82.80997
Duligotuzumab	Duligotuzumab VL	87.94397
Eculizumab	Eculizumab VH	74.09847
Eculizumab	Eculizumab VL	82.14957
Efalizumab	Efalizumab VH	76.85957
Efalizumab	Efalizumab VL	86.68227
Elotuzumab	Elotuzumab VH	80.75637
Elotuzumab	Elotuzumab VL	84.90657
Emactuzumab	Emactuzumab VH	85.17247
Emactuzumab	Emactuzumab VL	97.91677
Emibetuzumab	Emibetuzumab VH	100.05
Emibetuzumab	Emibetuzumab VL	83.65747
Emicizumab	Emicizumab VH	77.68917
Emicizumab	Emicizumab VL	85.60757
Enavatuzumab	Enavatuzumab VH	83.86557
Enavatuzumab	Enavatuzumab VL	71.35147
Enoblituzumab	Enoblituzumab VH	83.97547
Enoblituzumab	Enoblituzumab VL	86.07487
Enokizumab	Enokizumab VH	77.4596
Enokizumab	Enokizumab VL	84.20567
Epratuzumab	Epratuzumab VH	96.53857
Epratuzumab	Epratuzumab VL	100.05
Etaracizumab	Etaracizumab VH	85.29917
Etaracizumab	Etaracizumab VL	69.53277
Farletuzumab	Farletuzumab VH	84.07567
Farletuzumab	Farletuzumab VL	64.54557
Fibatuzumab	Fibatuzumab VH	83.89837
Fibatuzumab	Fibatuzumab VL	87.47667
Ficlatuzumab	Ficlatuzumab VH	84.19497
Ficlatuzumab	Ficlatuzumab VL	81.26177
Flotetuzumab	Flotetuzumab VH	80.04
Flotetuzumab	Flotetuzumab VL	90.57527
Fontolizumab	Fontolizumab VH	76.92317
Fontolizumab	Fontolizumab VL	81.63557
Fremanezumab	Fremanezumab VH	80.04
Fremanezumab	Fremanezumab VL	81.30847
Galcanezumab	Galcanezumab VH	78.69757
Galcanezumab	Galcanezumab VL	86.30847
Gatipotuzumab	Gatipotuzumab VH	100.05
Gatipotuzumab	Gatipotuzumab VL	88.61617
Gemtuzumab	Gemtuzumab VH	100.05
